C0_Prob,C1_Prob
0.08965813,0.91034186
0.034782603,0.9652174
3.00E-06,0.999997
0.001412134,0.99858785
2.63E-10,1
6.94E-10,1
5.74E-09,1
6.45E-09,1
1.57E-07,0.9999999
1.59E-06,0.99999845
0.000430389,0.9995696
0.001513486,0.9984865
4.41E-06,0.9999956
0.000401371,0.9995987
7.13E-05,0.9999287
0.000128202,0.99987173
0.0001487,0.9998512
0.002177955,0.99782205
0.007129738,0.9928703
0.001166293,0.9988337
0.01830849,0.98169154
0.8103959,0.18960409
0.07823929,0.92176074
0.92605865,0.073941365
0.97982293,0.020177081
0.088328026,0.91167194
0.000576206,0.99942386
0.90014136,0.099858604
0.000723741,0.9992762
1.25E-05,0.9999875
5.95E-10,1
1.95E-06,0.9999981
1.35E-08,1
0.000250975,0.999749
3.03E-06,0.999997
0.006093327,0.9939067
0.00012659,0.9998734
0.007768471,0.9922315
0.000207184,0.9997929
0.000397438,0.9996026
0.00022755,0.9997725
0.037256084,0.9627439
2.46E-05,0.99997544
1.66E-06,0.99999833
5.17E-07,0.9999995
0.000230349,0.9997696
2.84E-06,0.99999714
7.78E-06,0.99999225
9.59E-06,0.99999046
0.04732909,0.9526709
0.004534241,0.99546576
0.010506324,0.9894937
0.001730542,0.99826944
0.06991323,0.9300868
0.002258485,0.9977416
0.000511815,0.9994881
0.00159802,0.99840194
0.034788117,0.96521187
0.000716386,0.9992836
0.013537898,0.98646206
0.013248729,0.9867512
0.051247306,0.94875276
0.002112251,0.9978878
0.019062907,0.98093706
0.022132086,0.97786796
0.018740818,0.98125917
0.046433367,0.9535667
0.040208858,0.9597911
0.028352423,0.9716476
3.27E-07,0.99999964
9.36E-08,0.9999999
4.36E-08,1
0.0010568,0.99894327
0.000463244,0.99953675
2.15E-05,0.9999784
8.91E-05,0.99991083
0.000121731,0.9998783
0.005236283,0.99476373
0.000188911,0.9998111
0.000603723,0.9993963
0.002793961,0.99720603
0.007781729,0.99221826
0.000394776,0.99960524
0.002877059,0.99712294
0.046402633,0.95359737
0.09247006,0.90752995
0.004459266,0.9955407
0.003368071,0.9966319
0.033472165,0.9665278
0.21172749,0.78827244
0.05897841,0.94102156
0.001757239,0.99824274
0.90032077,0.099679224
0.51793534,0.48206463
0.000586838,0.99941313
0.0028453,0.9971547
0.015023368,0.98497665
0.03551974,0.9644803
0.007098095,0.99290186
0.021960765,0.9780392
0.32369924,0.6763008
0.061598778,0.9384012
0.008138673,0.99186134
0.012385984,0.98761404
0.000969287,0.9990307
0.11714109,0.88285893
0.06253719,0.93746275
0.25393674,0.7460633
0.1378765,0.8621235
0.20754394,0.7924561
0.3654143,0.63458574
0.19621353,0.80378646
0.000402441,0.9995976
0.003209671,0.99679035
1.38E-06,0.99999857
8.02E-05,0.9999198
0.000572775,0.9994272
0.001617945,0.9983821
4.87E-05,0.99995124
4.94E-06,0.9999951
0.000433643,0.9995664
0.013812748,0.9861872
0.000374952,0.99962497
0.000267934,0.9997321
0.19465515,0.8053448
0.2045686,0.7954314
1.17E-05,0.9999883
2.43E-05,0.9999757
9.21E-05,0.99990785
0.002623474,0.99737656
0.000296756,0.9997032
0.01708888,0.98291117
0.21418555,0.7858144
0.003879978,0.9961201
0.002710746,0.9972893
0.049020812,0.9509792
0.1963032,0.8036968
0.004568002,0.995432
2.53E-05,0.9999747
0.000704608,0.99929535
