Group,PSS,HSS,CSI,PSS_relative,HSS_relative,CSI_relative
G1,0.11863196741880602,0.122123530271211,0.08318933468114664,0.22131070796612207,0.23606164328129176,0.2293327604723502
G2,0.06452259756285669,0.053388048140875936,0.039151494678753486,0.12036841381916884,0.10319772403997435,0.10793114749277988
G3,0.06589185032726234,0.035456481382421086,0.03223441216270775,0.12292278685426651,0.06853646665404288,0.08886243352962676
G4,0.2172573044080845,0.25942468546134334,0.1700303855977474,0.40529857925750307,0.5014612451976711,0.4687324143505469
G5,0.06973888079270471,0.04694471191709665,0.03813947091886039,0.13009951210293944,0.09074292082701996,0.10514124415469622
