outcome,pred_fog,G1,G2,G3,G4,G5
correct-reject,2.7320402e-06,-0.009657247794619376,-0.00970994719035587,-0.009659996598440761,-0.009658508405349975,-0.009705078639372927
correct-reject,3.5396286e-07,-0.009651901602032435,-0.009697036874754652,-0.00965292680468129,-0.009696721669757954,-0.009694567676912581
correct-reject,8.889271e-05,-0.009732602137263712,-0.00959873003032608,-0.00961072234758058,-0.009614910453957407,-0.009747643659011146
correct-reject,2.4960042e-05,-0.009673410370184677,-0.009678665726617176,-0.009669657518928697,-0.00966672714257311,-0.009680047869835263
correct-reject,3.2234915e-05,-0.009556292150745035,-0.00970932982916741,-0.009726603108834135,-0.009689648052368974,-0.009679435487023363
correct-reject,6.713452e-07,-0.009679091639586275,-0.00968060060297532,-0.009678569443687933,-0.009677670477989325,-0.009676905463900064
correct-reject,0.002533249,-0.00917611646072104,-0.009162222588544565,-0.009164968295586646,-0.009176942089048838,-0.009180010194237821
correct-reject,3.590103e-05,-0.009569363798690968,-0.010216538710580713,-0.009501346128999383,-0.009513165595328716,-0.009557194394539132
correct-reject,4.5450026e-05,-0.009644408032746254,-0.009706166551589174,-0.009704821004421327,-0.00969270562198159,-0.00959990741740057
correct-reject,7.748788e-08,-0.009681539594398233,-0.009676953831932808,-0.009671531271441025,-0.009674356161102418,-0.009689050269264433
correct-reject,2.3847702e-05,-0.009745464223595549,-0.009799501450924467,-0.00958727455598792,-0.009744947164039012,-0.009492521233591955
correct-reject,3.6386143e-07,-0.009681473607412602,-0.009679565507259272,-0.009678948771267622,-0.009673783640851384,-0.00967937310134803
correct-reject,1.6553575e-07,-0.00967690321272571,-0.009680142022644856,-0.009679351785849926,-0.009678090062671072,-0.00967885554424735
correct-reject,2.9342504e-08,-0.009678615692262466,-0.009678707054650428,-0.009679382689708214,-0.009677903611111557,-0.009678870280406246
correct-reject,2.606951e-05,-0.009672911909619001,-0.009671773958669297,-0.009679216184851866,-0.009672354443742336,-0.009671152131256418
correct-reject,1.8863547e-06,-0.009685363380030777,-0.009686748105291723,-0.009686553797791762,-0.00966781056862341,-0.009665142776401237
correct-reject,5.897419e-06,-0.009642062526492268,-0.009689966381466865,-0.009690205114144469,-0.00969016882251591,-0.0096752057835194
correct-reject,1.6982418e-06,-0.00967068108778825,-0.009668298377194155,-0.00966941971569219,-0.009668786044204318,-0.009714623403260007
correct-reject,0.00016602705,-0.009484665919416524,-0.009524600689638332,-0.009478355484994668,-0.00948511262929312,-0.010254746904796273
correct-reject,6.9868724e-06,-0.009665662942915036,-0.009661887642792025,-0.009738464221354865,-0.009659834424596874,-0.009660669396480099
correct-reject,5.4795863e-05,-0.009672046053095722,-0.009671670126203654,-0.009670235997379142,-0.009650051266752408,-0.009674705184707982
correct-reject,4.1201582e-07,-0.009722230269935418,-0.009689141742553897,-0.009687142056260591,-0.009646824494140418,-0.009647758065248594
correct-reject,3.3476178e-07,-0.009679468239186084,-0.009679463204435763,-0.009676516941341655,-0.00967908725651364,-0.009678637986661779
correct-reject,3.170685e-07,-0.009679181351817936,-0.009678366605571769,-0.009678682345651808,-0.00967815679739354,-0.009678804527703862
correct-reject,6.306531e-07,-0.009651792792596986,-0.009684794866027456,-0.009686384279946782,-0.009684704245410776,-0.009685201444156917
correct-reject,5.81288e-07,-0.00967870399364756,-0.009678534088427518,-0.009678840126051897,-0.00967844344407,-0.009678405975941941
correct-reject,4.9341327e-07,-0.009680244757386576,-0.009678400610393526,-0.009678274194350368,-0.009678024565579913,-0.00967807150042853
correct-reject,2.1477007e-09,-0.009684255864561366,-0.009684167981075,-0.009658253379926155,-0.009683485538333099,-0.00968334371424329
correct-reject,2.2036673e-07,-0.009667893643131463,-0.009675828098340607,-0.009675841926124806,-0.009691031301735415,-0.009682693658806628
correct-reject,9.500571e-08,-0.009681849310581005,-0.009674324864946638,-0.00967415501861288,-0.009681416510526153,-0.00968166792347224
correct-reject,1.9013616e-08,-0.00968216648942823,-0.009682193346743834,-0.009674012668828535,-0.009675883538218032,-0.00967923358492028
correct-reject,3.4973255e-08,-0.009679815596302535,-0.009679803516770292,-0.009678722371004865,-0.009679053779979548,-0.00967607836408168
correct-reject,1.055697e-07,-0.009679594515884828,-0.009678306077941295,-0.009680065933061132,-0.009677567081524641,-0.009677869019727028
correct-reject,4.0269063e-10,-0.00967867128243267,-0.009678641031748848,-0.00967891123630789,-0.009678589994064997,-0.009678694680584507
correct-reject,0.003467929,0.01907071093937389,-0.02618698873975945,-0.015955017988234448,-0.012539924589309451,-0.00931435925020945
correct-reject,0.00089843536,-0.008818077454875116,-0.009485673924839285,-0.010100873032305113,-0.00981934613506345,-0.009271103081055948
correct-reject,0.00020798559,-0.009571828546457295,-0.009597849792870424,-0.009841228588215801,-0.00957629821087726,-0.009598317489718133
correct-reject,4.336467e-05,-0.009721528422009764,-0.009672514085948844,-0.009635080043970054,-0.00962521719412828,-0.00969576888208197
correct-reject,4.834385e-08,-0.00968135096652496,-0.009683561113203037,-0.009683868484205837,-0.009675351213651451,-0.009669328550553618
correct-reject,2.6254932e-08,-0.009681861335407226,-0.009679323031381177,-0.009678924716207848,-0.009679720618145343,-0.009673652626997325
correct-reject,4.2993378e-09,-0.009682582442891437,-0.009684472926546539,-0.009670756607498603,-0.009685537656428883,-0.00967015469477345
correct-reject,1.4959232e-09,-0.009679161082462128,-0.009678203849087031,-0.009676482521935119,-0.009679801843337742,-0.009679857831316897
correct-reject,1.4169304e-06,-0.009672737617895734,-0.009679184597302899,-0.009682487158820386,-0.0096804924701385,-0.009677186783981403
correct-reject,4.1096278e-06,-0.02118702358696674,-0.005742176089460187,-0.00786477276224174,-0.007851590457008516,-0.005743835732461734
correct-reject,1.09534685e-05,-0.009628721333495955,-0.009681296752206373,-0.009698789869423541,-0.009680557278609173,-0.009693143394403875
correct-reject,2.9371117e-06,-0.00968995932617651,-0.009674225997390238,-0.00967555193722078,-0.009675306287569688,-0.00967552507978171
correct-reject,1.029239e-05,-0.008820589136901143,-0.009256024000163465,-0.012682657782713182,-0.008825860319939484,-0.008798077388421635
correct-reject,8.943959e-06,-0.00967761717836965,-0.00966993243613876,-0.009680675211962959,-0.009587304977549522,-0.009769038824118014
correct-reject,9.274496e-05,-0.009504501993987467,-0.00972316873941146,-0.009670145764737983,-0.009685608561911066,-0.009717383568090944
correct-reject,3.2110404e-06,-0.009535496047141412,-0.01025898807416411,-0.009561987535860654,-0.00950986197911212,-0.009523964991860619
correct-reject,5.8989594e-05,-0.009563841182857727,-0.009712222065837006,-0.009710095898949353,-0.009643385485688293,-0.00970496399480654
correct-reject,1.9716183e-05,-0.009349764124921533,-0.010895569955342662,-0.009340994771272199,-0.009339252793599324,-0.009448226983003197
correct-reject,0.000115108094,-0.00938608395944163,-0.009425359994792045,-0.009985202824206542,-0.009385157309154561,-0.010096596540544131
correct-reject,4.2959646e-06,-0.009671334352107284,-0.00967956856898621,-0.009685502019276235,-0.009674152460747536,-0.009678651227021643
correct-reject,2.196458e-07,-0.009681160759779723,-0.009675917929732155,-0.009685963647385736,-0.009678992455217002,-0.009671253836024301
correct-reject,5.6861364e-07,-0.009660396614915981,-0.009666700522996015,-0.009696892098985934,-0.00970424826255375,-0.00966470212868723
correct-reject,1.6586979e-05,-0.009488604528245027,-0.009711409175204095,-0.009743500995810117,-0.009714685637243356,-0.00971870829163632
correct-reject,7.977875e-06,-0.009677773668426879,-0.009677115581241545,-0.009675498782461723,-0.00967725981532414,-0.009677880780684628
correct-reject,0.0001956413,-0.009629858141656289,-0.009629686273551367,-0.009641409137425705,-0.009636946710696648,-0.009659967364808897
correct-reject,5.5900327e-05,-0.009573394001478308,-0.009810727128253363,-0.00987683058344743,-0.009447935928176414,-0.0096287209867834
correct-reject,1.42762965e-05,-0.009668690064382918,-0.009663107526797377,-0.00969452728595529,-0.009677721882651199,-0.00967516186835212
