C0_Prob,C1_Prob
0.046701793,0.9532983
0.025386747,0.9746132
3.11E-08,1
1.38E-10,1
1.14E-07,0.9999999
1.49E-08,1
7.40E-09,1
3.22E-09,1
1.90E-09,1
2.23E-08,1
7.43E-09,1
3.26E-07,0.99999964
1.03E-05,0.99998975
0.0063651,0.99363494
2.03E-06,0.999998
4.46E-05,0.9999554
4.28E-07,0.9999995
9.65E-05,0.99990344
5.92E-06,0.99999404
9.37E-05,0.9999063
0.001847023,0.9981529
0.44312495,0.55687505
0.010985695,0.9890143
0.8403949,0.15960509
0.99612707,0.003872938
0.91424245,0.085757494
0.001723252,0.9982767
0.001583919,0.99841607
2.24E-08,1
4.88E-06,0.9999951
4.01E-08,1
1.53E-10,1
3.65E-10,1
1.53E-06,0.99999845
1.23E-07,0.9999999
2.36E-05,0.9999764
1.03E-05,0.9999896
0.000356631,0.9996433
3.70E-05,0.99996305
1.82E-05,0.9999819
0.000499913,0.99950004
0.010817622,0.9891824
7.28E-08,0.9999999
3.93E-07,0.99999964
2.74E-06,0.99999726
0.001015283,0.99898475
2.74E-08,1
3.12E-05,0.99996877
5.08E-05,0.9999492
0.012356567,0.9876435
2.18E-05,0.9999782
0.031614795,0.9683852
0.001174944,0.998825
0.04352961,0.95647043
5.92E-06,0.99999404
0.004651938,0.99534804
7.98E-05,0.99992025
0.006096816,0.9939031
0.000110596,0.9998894
0.001673704,0.99832624
0.000404838,0.9995952
0.002448047,0.997552
1.77E-05,0.99998236
0.000717176,0.9992829
0.000426775,0.9995732
0.019245867,0.98075414
4.37E-05,0.99995625
0.000899233,0.9991008
7.87E-05,0.9999213
8.08E-13,1
1.52E-17,1
5.35E-15,1
5.42E-05,0.99994576
4.90E-06,0.9999951
4.01E-05,0.99995995
8.01E-09,1
1.49E-05,0.9999851
0.001112339,0.9988877
3.98E-06,0.99999607
0.000211362,0.9997887
0.000372024,0.99962795
0.002271965,0.99772805
5.72E-08,1
0.000598789,0.9994012
0.026966376,0.97303355
0.27660295,0.7233971
0.000351284,0.9996487
0.003095885,0.9969041
0.07912863,0.9208714
