C0_Prob,C1_Prob
0.005419366,0.99458057
0.001855523,0.9981445
4.00E-05,0.99995995
3.86E-10,1
1.07E-08,1
1.08E-07,0.9999999
6.28E-06,0.9999937
3.56E-07,0.99999964
3.84E-08,1
3.70E-06,0.9999963
4.51E-06,0.99999547
3.98E-06,0.99999607
1.34E-08,1
0.007077685,0.9929223
0.002130167,0.99786985
5.33E-05,0.9999467
1.40E-16,1
9.84E-07,0.99999905
5.63E-10,1
2.80E-06,0.99999714
1.53E-07,0.9999999
0.7068761,0.29312393
0.000180181,0.9998198
0.8463785,0.15362155
0.93162286,0.06837715
0.044335652,0.9556644
0.000346764,0.9996532
0.4504219,0.54957813
2.61E-08,1
7.84E-07,0.99999917
2.33E-08,1
8.89E-12,1
6.31E-08,0.9999999
0.000116351,0.99988365
2.06E-08,1
3.06E-05,0.99996936
1.39E-05,0.99998605
0.000116204,0.9998838
1.68E-05,0.9999832
1.89E-05,0.99998116
1.25E-05,0.9999875
0.013062459,0.9869376
3.41E-06,0.99999654
1.30E-06,0.9999987
6.17E-11,1
0.00200636,0.9979937
1.74E-07,0.9999999
6.87E-09,1
4.84E-09,1
0.003519719,0.9964803
0.000269835,0.99973017
0.00024711,0.99975294
1.94E-06,0.9999981
0.08747096,0.912529
0.000122682,0.99987733
0.000557807,0.99944216
3.44E-06,0.99999654
0.002984704,0.99701536
2.24E-05,0.9999776
0.000563982,0.99943596
2.98E-07,0.99999964
0.01258374,0.9874163
5.50E-06,0.9999945
0.000617491,0.9993825
0.000202094,0.9997979
0.003690422,0.9963096
0.00550002,0.9944999
0.005005623,0.9949944
0.21701428,0.7829857
1.61E-05,0.9999839
5.69E-18,1
1.29E-10,1
7.64E-05,0.9999236
2.33E-06,0.9999976
2.84E-07,0.99999976
8.76E-05,0.9999124
2.94E-06,0.999997
4.95E-05,0.9999505
1.24E-05,0.9999876
0.000181404,0.9998186
4.03E-07,0.99999964
0.002182893,0.99781716
1.71E-06,0.99999833
0.000121814,0.99987817
0.003934222,0.9960658
0.029518757,0.9704813
0.001563299,0.99843675
0.002515988,0.99748397
0.007165115,0.9928349
0.004360517,0.99563944
0.000512404,0.9994875
0.000979082,0.99902093
0.9685859,0.031414066
0.0312869,0.9687131
4.03E-08,1
6.82E-05,0.9999318
1.47E-05,0.99998534
0.000421895,0.99957806
8.16E-07,0.99999917
0.000868175,0.99913186
0.025462141,0.9745378
0.017802104,0.9821978
0.000464607,0.99953544
0.000320627,0.99967945
0.008232204,0.99176776
0.006011226,0.99398875
0.003014653,0.9969854
0.46802136,0.5319786
0.022025254,0.9779748
0.00454389,0.9954561
0.04109835,0.95890164
0.012743574,0.9872564
1.05E-07,0.9999999
