C0_Prob,C1_Prob
0.22880259,0.7711974
0.19338985,0.8066101
0.014746021,0.985254
0.002709777,0.99729025
1.22E-07,0.9999999
4.18E-06,0.9999958
3.06E-05,0.99996936
7.40E-05,0.999926
0.000217941,0.999782
0.001695568,0.99830437
0.16498588,0.83501416
0.03716048,0.9628395
1.21E-06,0.9999988
3.59E-05,0.9999641
6.09E-05,0.9999391
0.000137122,0.9998629
0.05345708,0.9465429
0.06980068,0.9301993
0.01205371,0.9879462
0.015988557,0.9840115
0.05467591,0.94532406
0.9188075,0.081192516
0.6967084,0.30329162
0.97651505,0.02348491
0.99803835,0.001961697
0.999539,0.000461043
0.9970542,0.002945831
0.31493673,0.6850633
0.014235575,0.98576444
5.40E-05,0.999946
1.03E-05,0.99998975
1.12E-06,0.9999989
7.83E-06,0.99999213
1.17E-05,0.9999883
4.53E-06,0.99999547
1.43E-05,0.9999857
2.85E-05,0.9999715
0.001402591,0.99859744
0.003616334,0.99638367
0.000385476,0.9996145
0.001282991,0.99871707
0.04112033,0.95887965
0.00032787,0.9996722
0.00026911,0.9997309
2.45E-05,0.99997556
0.003346687,0.9966534
7.95E-05,0.9999205
4.76E-05,0.99995244
0.000124123,0.9998759
0.040972974,0.959027
0.006604797,0.99339527
0.009811457,0.99018854
0.004383069,0.9956169
0.085609406,0.91439056
0.008394902,0.99160504
0.00470506,0.995295
0.003966516,0.9960335
0.025674226,0.9743258
0.000765173,0.9992348
0.00726011,0.99273986
0.005584216,0.99441576
0.025151948,0.974848
0.005269666,0.99473035
0.000639993,0.99936
0.011005342,0.98899466
0.0834715,0.9165285
0.038664192,0.96133584
0.025998728,0.9740012
0.122088835,0.87791115
4.09E-05,0.9999591
2.93E-07,0.99999976
1.22E-06,0.9999988
1.56E-06,0.99999845
3.62E-05,0.99996376
1.49E-06,0.99999857
6.67E-05,0.99993324
0.000111085,0.9998889
0.003141828,0.9968581
0.00019198,0.999808
0.00359463,0.99640536
0.002021556,0.9979785
0.005553714,0.9944463
0.000536192,0.99946386
0.00010638,0.99989367
0.05895163,0.9410484
0.68447495,0.31552505
0.011410554,0.9885895
0.18477897,0.815221
0.2510453,0.7489547
0.33866453,0.66133547
0.014326596,0.9856734
0.017729903,0.98227006
0.29089653,0.70910347
0.13307661,0.8669234
0.000621741,0.9993782
0.001478019,0.998522
0.000460542,0.9995395
0.004123042,0.9958769
0.002169904,0.9978301
0.22053176,0.7794683
0.5239276,0.47607243
0.5274838,0.4725162
0.019847315,0.98015267
0.025631366,0.9743686
0.03682495,0.963175
0.14075144,0.8592485
0.018684682,0.9813153
0.24484369,0.7551563
0.25820696,0.74179304
0.79010165,0.20989835
0.041719854,0.95828015
0.0332182,0.9667818
6.17E-05,0.99993825
0.002068414,0.9979316
7.57E-05,0.9999243
0.000432404,0.99956757
0.000265149,0.9997348
0.001035028,0.998965
0.00050249,0.99949753
3.27E-05,0.9999672
2.94E-05,0.9999707
1.32E-06,0.9999987
1.21E-06,0.9999988
4.47E-06,0.99999547
0.13758199,0.862418
0.045244206,0.95475584
0.000158811,0.9998412
3.53E-06,0.9999964
4.74E-06,0.99999523
1.92E-05,0.9999808
0.006769728,0.9932302
0.11969465,0.8803054
0.28633922,0.7136607
0.54914474,0.4508552
0.015977787,0.9840222
0.03321316,0.9667868
0.16578728,0.8342127
0.06510728,0.9348927
0.001329801,0.9986702
0.006594216,0.9934058
0.003164745,0.9968353
0.001588278,0.99841166
0.000151691,0.99984825
0.100952536,0.89904743
0.029020092,0.97097987
0.014333506,0.98566645
