C0_Prob,C1_Prob
0.26260084,0.73739916
0.017614981,0.982385
3.13E-05,0.99996877
7.73E-07,0.9999993
2.55E-11,1
1.83E-09,1
1.25E-10,1
4.89E-11,1
1.01E-09,1
1.17E-08,1
1.02E-08,1
1.55E-06,0.99999845
1.79E-05,0.9999821
0.00080419,0.9991959
2.10E-05,0.999979
3.30E-06,0.99999666
0.007099742,0.99290025
0.010990658,0.9890093
0.000795313,0.9992047
0.003109776,0.99689025
0.010968383,0.9890316
0.44626328,0.55373675
0.038586166,0.96141386
0.77395034,0.2260496
0.93434113,0.065658934
0.69677985,0.30322018
0.005407023,0.99459296
0.00020689,0.9997931
0.002237702,0.9977623
0.009057023,0.990943
1.78E-06,0.9999982
3.67E-05,0.9999633
2.59E-05,0.99997413
0.002106528,0.9978935
1.32E-05,0.99998677
0.000155367,0.99984455
0.000154039,0.999846
0.003159085,0.99684095
0.000994316,0.99900573
0.000143669,0.99985635
0.007469178,0.99253076
0.03865939,0.9613406
0.000342141,0.99965787
4.97E-06,0.999995
3.68E-07,0.99999964
0.000118233,0.99988174
0.000269986,0.99973005
1.09E-05,0.99998915
0.000106078,0.9998939
0.003428807,0.9965712
0.006154229,0.99384576
0.006081539,0.9939184
0.002822771,0.99717724
0.03096514,0.96903485
0.010601733,0.98939824
0.001408234,0.9985917
0.001568317,0.9984316
0.017771583,0.98222846
0.002663361,0.99733657
0.001969409,0.9980306
0.00108188,0.9989182
0.011928729,0.9880713
0.002188161,0.99781185
0.002515476,0.99748445
0.009426489,0.99057347
0.049889583,0.9501104
0.006422592,0.9935774
0.000297762,0.99970216
0.028668785,0.97133124
0.20012225,0.7998778
1.11E-05,0.9999889
1.48E-06,0.99999857
0.001678744,0.99832124
0.007304099,0.9926959
0.000384121,0.9996159
0.000103859,0.99989617
0.000156487,0.9998435
0.004190484,0.99580956
0.013852054,0.9861479
0.000226201,0.9997738
0.000469322,0.9995307
0.00365696,0.9963431
0.003420613,0.99657935
0.000184257,0.99981576
0.005036493,0.9949635
0.09739782,0.9026022
0.010806846,0.98919314
0.02182622,0.9781738
0.12199815,0.87800187
0.49418932,0.5058107
0.03447521,0.9655248
0.054346405,0.94565356
0.69159377,0.30840623
0.39021677,0.60978323
0.000451242,0.99954873
0.00024998,0.99974996
0.000361626,0.9996383
0.00050026,0.9994997
0.00188565,0.99811435
0.005288624,0.9947114
0.10432076,0.8956792
0.19031122,0.80968875
0.01538632,0.98461366
0.011429846,0.98857015
0.04362963,0.9563704
0.17163815,0.8283618
0.11293253,0.8870675
0.002204883,0.9977951
0.003818896,0.99618113
0.26119143,0.7388085
0.08273882,0.9172611
0.07371368,0.9262863
0.000580375,0.9994197
0.005725652,0.9942743
0.000156847,0.9998431
0.000238496,0.9997615
0.000150046,0.9998499
0.005516479,0.99448353
0.004436406,0.9955636
2.10E-05,0.999979
0.000444087,0.9995559
0.011392988,0.988607
0.000284198,0.99971575
1.60E-06,0.99999845
0.017055193,0.9829448
0.004531373,0.9954686
4.74E-07,0.9999995
2.98E-09,1
2.76E-08,1
1.06E-06,0.9999989
7.15E-06,0.99999285
1.48E-06,0.99999857
1.14E-05,0.9999887
5.91E-05,0.9999409
0.002667506,0.99733245
0.000267448,0.99973255
0.07518051,0.9248194
0.00380203,0.996198
0.000249627,0.9997503
0.000187267,0.9998128
0.000413679,0.9995863
0.003528454,0.9964715
0.000167066,0.99983287
0.000276111,0.99972385
0.002455576,0.99754435
0.016226824,0.9837731
0.000191856,0.99980813
0.0057354,0.99426454
0.8463428,0.15365718
0.97303164,0.026968328
0.000173429,0.9998266
9.96E-13,1
2.13E-08,1
0.001157502,0.99884254
5.18E-05,0.99994814
0.000166703,0.9998332
0.000128471,0.9998715
0.001339245,0.9986608
0.029752878,0.9702471
0.004587797,0.9954122
4.87E-05,0.99995124
0.000305368,0.9996947
1.82E-05,0.99998176
1.58E-05,0.99998426
0.000178922,0.9998211
0.028651888,0.9713481
2.61E-09,1
6.64E-10,1
0.002932769,0.9970673
0.00087512,0.99912494
3.30E-06,0.99999666
3.36E-07,0.99999964
2.02E-06,0.999998
0.000380837,0.9996191
0.000336158,0.99966383
4.25E-05,0.99995756
1.85E-06,0.9999981
2.08E-05,0.99997914
5.94E-06,0.99999404
4.92E-06,0.9999951
8.31E-05,0.9999168
0.002594829,0.9974051
1.04E-05,0.9999896
2.03E-07,0.99999976
1.28E-07,0.9999999
5.21E-05,0.9999479
2.16E-05,0.9999784
3.46E-05,0.9999654
0.000409708,0.99959034
9.06E-05,0.9999094
0.000169161,0.99983084
1.37E-05,0.9999863
0.000458389,0.99954164
0.0034369,0.99656314
0.000138229,0.9998617
8.33E-07,0.99999917
2.07E-05,0.99997926
0.000863192,0.99913687
0.000135121,0.9998648
5.67E-07,0.9999994
2.88E-10,1
7.15E-05,0.9999285
9.82E-07,0.99999905
4.33E-06,0.9999957
8.03E-05,0.9999198
8.40E-05,0.99991596
