,Feature,POD_mean,F_mean,FAR_mean,CSI_mean,PSS_mean,HSS_mean,ORSS_mean,CSS_mean
47,UGRD_750mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
48,UGRD_725mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
49,UGRD_725mb,0.462686567,0.016196205,0.53030303,0.303921569,0.446490362,0.449742591,0.962481017,0.453045721
50,UGRD_725mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
51,UGRD_725mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
52,UGRD_700mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
53,UGRD_700mb,0.447761194,0.017121703,0.552238806,0.288461538,0.430639491,0.430639491,0.95793452,0.430639491
54,UGRD_700mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
55,UGRD_700mb,0.462686567,0.016658954,0.537313433,0.300970874,0.446027613,0.446027613,0.961411919,0.446027613
56,VGRD_10maboveground,0.462686567,0.014807959,0.507936508,0.313131313,0.447878608,0.461219497,0.965689267,0.475435317
57,VGRD_10maboveground,0.447761194,0.014345211,0.508196721,0.306122449,0.433415983,0.453073896,0.964733193,0.474728982
58,VGRD_10maboveground,0.462686567,0.014807959,0.507936508,0.313131313,0.447878608,0.461219497,0.965689267,0.475435317
59,VGRD_10maboveground,0.462686567,0.014807959,0.507936508,0.313131313,0.447878608,0.461219497,0.965689267,0.475435317
60,VGRD_975mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
61,VGRD_975mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
62,VGRD_975mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
63,VGRD_975mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
64,VGRD_950mb,0.47761194,0.016196205,0.52238806,0.31372549,0.461415735,0.461415735,0.964624514,0.461415735
65,VGRD_950mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
66,VGRD_950mb,0.47761194,0.015733457,0.515151515,0.316831683,0.461878484,0.465242799,0.965633754,0.468659771
67,VGRD_950mb,0.47761194,0.013882462,0.483870968,0.329896907,0.463729478,0.481125315,0.969671587,0.499970214
68,VGRD_925mb,0.462686567,0.013882462,0.491803279,0.319587629,0.448804105,0.469159958,0.967828897,0.491583893
69,VGRD_925mb,0.47761194,0.012494216,0.457627119,0.340425532,0.465117725,0.493677196,0.97270088,0.526236413
70,VGRD_925mb,0.47761194,0.014345211,0.492063492,0.326530612,0.46326673,0.477065982,0.968661997,0.491770226
71,VGRD_925mb,0.47761194,0.013882462,0.483870968,0.329896907,0.463729478,0.481125315,0.969671587,0.499970214
72,VGRD_900mb,0.47761194,0.014345211,0.492063492,0.326530612,0.46326673,0.477065982,0.968661997,0.491770226
73,VGRD_900mb,0.47761194,0.014807959,0.5,0.323232323,0.462803981,0.473066659,0.967652495,0.483826248
74,VGRD_900mb,0.47761194,0.015270708,0.507692308,0.32,0.462341232,0.469126026,0.966643081,0.476126463
75,VGRD_900mb,0.462686567,0.015270708,0.515625,0.31,0.447415859,0.457337306,0.964619691,0.46773914
76,VGRD_875mb,0.47761194,0.014345211,0.492063492,0.326530612,0.46326673,0.477065982,0.968661997,0.491770226
77,VGRD_875mb,0.47761194,0.013882462,0.483870968,0.329896907,0.463729478,0.481125315,0.969671587,0.499970214
78,VGRD_875mb,0.47761194,0.013882462,0.483870968,0.329896907,0.463729478,0.481125315,0.969671587,0.499970214
79,VGRD_875mb,0.462686567,0.013882462,0.491803279,0.319587629,0.448804105,0.469159958,0.967828897,0.491583893
80,VGRD_850mb,0.447761194,0.014345211,0.508196721,0.306122449,0.433415983,0.453073896,0.964733193,0.474728982
81,VGRD_850mb,0.432835821,0.013882462,0.508474576,0.298969072,0.418953359,0.444678215,0.963774448,0.474005829
82,VGRD_850mb,0.432835821,0.015733457,0.53968254,0.287128713,0.417102364,0.429526526,0.958967844,0.442765497
83,VGRD_850mb,0.432835821,0.014345211,0.516666667,0.295918367,0.41849061,0.440803736,0.962572282,0.465805658
84,VGRD_825mb,0.432835821,0.012494216,0.482142857,0.308510638,0.420341605,0.456666917,0.967383011,0.500361747
85,VGRD_825mb,0.417910448,0.013419713,0.50877193,0.291666667,0.404490735,0.436020757,0.962812567,0.473263998
86,VGRD_825mb,0.417910448,0.013419713,0.50877193,0.291666667,0.404490735,0.436020757,0.962812567,0.473263998
87,VGRD_825mb,0.417910448,0.013419713,0.50877193,0.291666667,0.404490735,0.436020757,0.962812567,0.473263998
88,VGRD_800mb,0.417910448,0.013419713,0.50877193,0.291666667,0.404490735,0.436020757,0.962812567,0.473263998
89,VGRD_800mb,0.417910448,0.014345211,0.525423729,0.285714286,0.403565237,0.428345221,0.960262289,0.456595635
90,VGRD_800mb,0.417910448,0.012956964,0.5,0.294736842,0.404953483,0.439948976,0.964088398,0.482044199
91,VGRD_800mb,0.417910448,0.012956964,0.5,0.294736842,0.404953483,0.439948976,0.964088398,0.482044199
92,VGRD_775mb,0.417910448,0.012031467,0.481481481,0.301075269,0.405878981,0.447993535,0.966641445,0.500579236
93,VGRD_775mb,0.417910448,0.012031467,0.481481481,0.301075269,0.405878981,0.447993535,0.966641445,0.500579236
94,VGRD_775mb,0.462686567,0.010643221,0.425925926,0.344444444,0.452043346,0.498947978,0.975322624,0.557514736
95,VGRD_775mb,0.432835821,0.011105969,0.452830189,0.318681319,0.421729851,0.469234375,0.970994673,0.529698547
96,VGRD_750mb,0.432835821,0.011105969,0.452830189,0.318681319,0.421729851,0.469234375,0.970994673,0.529698547
97,VGRD_750mb,0.432835821,0.011105969,0.452830189,0.318681319,0.421729851,0.469234375,0.970994673,0.529698547
98,VGRD_750mb,0.447761194,0.011105969,0.444444444,0.32967033,0.436655225,0.481963164,0.972676082,0.538536236
99,VGRD_750mb,0.432835821,0.011568718,0.462962963,0.315217391,0.421267103,0.46497835,0.969790441,0.519557736
100,VGRD_725mb,0.373134328,0.012031467,0.509803922,0.268817204,0.361102861,0.408349279,0.959902326,0.470903474
101,VGRD_725mb,0.432835821,0.011568718,0.462962963,0.315217391,0.421267103,0.46497835,0.969790441,0.519557736
102,VGRD_725mb,0.417910448,0.011568718,0.471698113,0.304347826,0.40634173,0.452112903,0.967918661,0.510370852
103,VGRD_725mb,0.417910448,0.011105969,0.461538462,0.307692308,0.406804478,0.456299097,0.96919634,0.520538744
104,VGRD_700mb,0.432835821,0.010643221,0.442307692,0.322222222,0.4221926,0.473559443,0.972199249,0.540229072
105,VGRD_700mb,0.447761194,0.011568718,0.454545455,0.326086957,0.436192476,0.477640047,0.971540651,0.528427394
106,VGRD_700mb,0.447761194,0.011568718,0.454545455,0.326086957,0.436192476,0.477640047,0.971540651,0.528427394
107,VGRD_700mb,0.432835821,0.011105969,0.452830189,0.318681319,0.421729851,0.469234375,0.970994673,0.529698547
108,TKE_975mb,0.402985075,0.010643221,0.46,0.3,0.392341854,0.447333606,0.968625311,0.521634527
109,TKE_975mb,0.417910448,0.010180472,0.44,0.314606742,0.407729976,0.464878571,0.971753086,0.542093664
110,TKE_975mb,0.402985075,0.010643221,0.46,0.3,0.392341854,0.447333606,0.968625311,0.521634527
111,TKE_975mb,0.402985075,0.011105969,0.470588235,0.296703297,0.391879105,0.443152263,0.96726845,0.511037856
112,TKE_950mb,0.402985075,0.011105969,0.470588235,0.296703297,0.391879105,0.443152263,0.96726845,0.511037856
113,TKE_950mb,0.402985075,0.011105969,0.470588235,0.296703297,0.391879105,0.443152263,0.96726845,0.511037856
114,TKE_950mb,0.402985075,0.011105969,0.470588235,0.296703297,0.391879105,0.443152263,0.96726845,0.511037856
115,TKE_950mb,0.388059701,0.010643221,0.469387755,0.288888889,0.377416481,0.433893649,0.966637774,0.511796274
116,TKE_925mb,0.388059701,0.011105969,0.48,0.285714286,0.376953732,0.429788641,0.965196477,0.50117539
117,TKE_925mb,0.388059701,0.011105969,0.48,0.285714286,0.376953732,0.429788641,0.965196477,0.50117539
118,TKE_925mb,0.402985075,0.011105969,0.470588235,0.296703297,0.391879105,0.443152263,0.96726845,0.511037856
119,TKE_925mb,0.402985075,0.011105969,0.470588235,0.296703297,0.391879105,0.443152263,0.96726845,0.511037856
120,TKE_900mb,0.402985075,0.010180472,0.448979592,0.303370787,0.392804603,0.451584472,0.969982774,0.532663364
121,TKE_900mb,0.388059701,0.010180472,0.458333333,0.292134831,0.377879229,0.438067481,0.968079836,0.522859327
122,TKE_900mb,0.358208955,0.010643221,0.489361702,0.266666667,0.347565734,0.406332006,0.962180455,0.490922571
123,TKE_900mb,0.358208955,0.010180472,0.47826087,0.269662921,0.348028483,0.41034202,0.963811637,0.502032439
124,TKE_875mb,0.358208955,0.010180472,0.47826087,0.269662921,0.348028483,0.41034202,0.963811637,0.502032439
