,Feature,POD_mean,POD_std,F_mean,F_std,FAR_mean,FAR_std,CSI_mean,CSI_std,PSS_mean,PSS_std,HSS_mean,HSS_std,ORSS_mean,ORSS_std,CSS_mean,CSS_std
0,analysed_sst,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
1,analysed_sst,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
2,analysed_sst,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
3,analysed_sst,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
4,TMP-DPT,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
5,TMP-DPT,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
6,TMP-DPT,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
7,TMP-DPT,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
8,TMP-SST,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
9,TMP-SST,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
10,TMP-SST,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
11,TMP-SST,0.4601990049751245,0.091365013294562,0.01380533703532315,0.00449380136725504,0.48382388325488496,0.0396010854742046,0.3158053676147768,0.03849719846840565,0.4463936679398011,0.08730532795088228,0.46376159548605983,0.04468351243910059,0.968833465250308,0.004314870504718805,0.4995075537406956,0.03806077840109539
