feature,group,PSS_Mean,PSS_STD,HSS_Mean,HSS_STD,CSS_Mean,CSS_STD
VGRD_825mb_T2,G1,0.52,0.01,0.51,0.05,0.51,0.08
VGRD_825mb_T3,G1,0.52,0,0.5,0,0.49,0.04
VGRD_825mb_T4,G1,0.54,0,0.52,0.07,0.5,0.01
VGRD_800mb_T1,G1,0.54,0,0.51,0.01,0.49,0.05
VGRD_800mb_T2,G1,0.54,0.01,0.52,0.01,0.5,0.08
VGRD_800mb_T3,G1,0.54,0,0.52,0.07,0.5,0.02
VGRD_800mb_T4,G1,0.53,0,0.51,0.1,0.48,0.06
VGRD_775mb_T1,G1,0.54,0.01,0.52,0.06,0.51,0.06
VGRD_775mb_T2,G1,0.54,0.01,0.52,0.06,0.51,0.02
VGRD_775mb_T3,G1,0.54,0.01,0.53,0.07,0.51,0.06
VGRD_775mb_T4,G1,0.52,0.01,0.49,0.08,0.47,0.03
VGRD_750mb_T1,G1,0.54,0.01,0.52,0.07,0.51,0.05
VGRD_750mb_T2,G1,0.54,0.01,0.52,0.05,0.5,0.04
VGRD_750mb_T3,G1,0.52,0,0.51,0.02,0.5,0.07
VGRD_750mb_T4,G1,0.54,0,0.51,0.04,0.49,0.03
VGRD_725mb_T1,G1,0.54,0,0.53,0.01,0.51,0
VGRD_725mb_T2,G1,0.52,0,0.51,0.01,0.49,0.04
VGRD_725mb_T3,G1,0.54,0.01,0.52,0.08,0.5,0.04
VGRD_725mb_T4,G1,0.54,0,0.52,0.02,0.5,0.08
VGRD_700mb_T1,G1,0.54,0,0.51,0.03,0.49,0.01
VGRD_700mb_T2,G1,0.55,0,0.52,0.03,0.49,0.1
VGRD_700mb_T3,G1,0.54,0,0.51,0.04,0.49,0.04
VGRD_700mb_T4,G1,0.54,0.01,0.52,0.09,0.5,0.02
TKE_975mb_T1,G2,0.52,0.01,0.49,0.03,0.47,0.08
TKE_975mb_T2,G2,0.54,0,0.52,0.1,0.5,0.07
TKE_975mb_T3,G2,0.54,0.01,0.52,0.05,0.5,0.04
TKE_975mb_T4,G2,0.54,0.01,0.52,0.02,0.5,0.09
TKE_950mb_T1,G2,0.54,0,0.52,0.09,0.5,0.02
TKE_950mb_T2,G2,0.54,0.01,0.52,0.08,0.5,0
TKE_950mb_T3,G2,0.54,0.01,0.52,0.05,0.5,0.02
TKE_950mb_T4,G2,0.54,0,0.53,0.08,0.51,0.03
TKE_925mb_T1,G2,0.52,0.01,0.51,0.08,0.49,0
TKE_925mb_T2,G2,0.54,0,0.52,0.09,0.5,0.05
TKE_925mb_T3,G2,0.54,0,0.52,0.08,0.51,0.03
TKE_925mb_T4,G2,0.54,0.01,0.52,0.08,0.51,0.03
TKE_900mb_T1,G2,0.52,0.01,0.5,0.08,0.49,0.08
TKE_900mb_T2,G2,0.52,0.01,0.51,0.09,0.49,0.06
TKE_900mb_T3,G2,0.52,0.01,0.51,0.03,0.5,0.01
TKE_900mb_T4,G2,0.51,0.01,0.5,0.03,0.49,0.03
TKE_875mb_T1,G2,0.54,0,0.51,0.1,0.49,0.05
TKE_875mb_T2,G2,0.54,0,0.51,0.1,0.49,0.04
TKE_875mb_T3,G2,0.54,0,0.52,0.02,0.5,0.08
TKE_875mb_T4,G2,0.54,0,0.51,0.03,0.49,0.04
TKE_850mb_T1,G2,0.53,0,0.51,0.04,0.48,0.06
TKE_850mb_T2,G2,0.54,0,0.51,0.04,0.49,0.07
TKE_850mb_T3,G2,0.54,0.01,0.51,0.07,0.49,0.03
TKE_850mb_T4,G2,0.52,0,0.5,0.02,0.49,0.09
TKE_825mb_T1,G2,0.52,0.01,0.51,0.03,0.49,0
TKE_825mb_T2,G2,0.54,0,0.53,0.1,0.51,0.05
TKE_825mb_T3,G2,0.54,0,0.52,0.07,0.5,0.02
TKE_825mb_T4,G2,0.52,0,0.51,0.1,0.49,0.04
TKE_800mb_T1,G2,0.54,0,0.52,0.06,0.5,0.09
TKE_800mb_T2,G2,0.54,0.01,0.52,0.04,0.5,0.03
TKE_800mb_T3,G2,0.54,0.01,0.52,0.04,0.5,0.04
TKE_800mb_T4,G2,0.54,0.01,0.52,0.01,0.51,0.05
TKE_775mb_T1,G2,0.54,0.01,0.52,0.03,0.5,0.07
TKE_775mb_T2,G2,0.52,0,0.51,0.09,0.5,0.03
TKE_775mb_T3,G2,0.52,0,0.51,0.04,0.49,0.04
TKE_775mb_T4,G2,0.54,0,0.51,0.06,0.49,0.08
TKE_750mb_T1,G2,0.52,0.01,0.5,0.03,0.48,0.02
TKE_750mb_T2,G2,0.54,0.01,0.52,0.01,0.5,0.08
TKE_750mb_T3,G2,0.54,0.01,0.51,0.04,0.49,0.05
TKE_750mb_T4,G2,0.54,0,0.52,0.02,0.5,0.04
TKE_725mb_T1,G2,0.54,0.01,0.52,0.1,0.5,0.07
TKE_725mb_T2,G2,0.54,0,0.52,0.06,0.5,0.04
TKE_725mb_T3,G2,0.54,0,0.52,0.01,0.5,0.07
TKE_725mb_T4,G2,0.54,0.01,0.52,0.07,0.5,0.05
TKE_700mb_T1,G2,0.54,0,0.51,0.08,0.49,0.01
TKE_700mb_T2,G2,0.54,0.01,0.52,0.09,0.5,0.05
TKE_700mb_T3,G2,0.54,0.01,0.52,0.04,0.5,0.02
TKE_700mb_T4,G2,0.54,0,0.51,0.07,0.49,0.02
Q_975mb_T1,G2,0.54,0,0.52,0.04,0.5,0.05
Q_975mb_T2,G2,0.54,0.01,0.52,0.01,0.5,0.07
Q_975mb_T3,G2,0.54,0.01,0.52,0.05,0.5,0.04
Q_975mb_T4,G2,0.54,0.01,0.52,0.04,0.5,0.07
Q_950mb_T1,G2,0.54,0.01,0.52,0.07,0.5,0.01
Q_950mb_T2,G2,0.52,0,0.51,0.05,0.49,0.08
Q_950mb_T3,G2,0.54,0,0.51,0.04,0.49,0.02
Q_950mb_T4,G2,0.54,0.01,0.52,0.1,0.5,0.07
Q_925mb_T1,G2,0.52,0.01,0.5,0.03,0.48,0.04
Q_925mb_T2,G2,0.54,0.01,0.51,0.04,0.49,0.04
Q_925mb_T3,G2,0.53,0,0.5,0.07,0.47,0.02
Q_925mb_T4,G2,0.52,0.01,0.51,0.02,0.5,0
Q_900mb_T1,G2,0.54,0.01,0.51,0.04,0.49,0.02
Q_900mb_T2,G2,0.54,0.01,0.51,0.05,0.49,0.04
Q_900mb_T3,G2,0.54,0,0.51,0.08,0.49,0
Q_900mb_T4,G2,0.55,0,0.52,0.04,0.49,0.1
Q_875mb_T1,G2,0.54,0,0.52,0.02,0.5,0.08
Q_875mb_T2,G2,0.52,0,0.51,0.04,0.49,0.09
Q_875mb_T3,G2,0.54,0.01,0.51,0.08,0.49,0.09
Q_875mb_T4,G2,0.54,0,0.51,0.01,0.49,0.05
Q_850mb_T1,G2,0.54,0.01,0.52,0.07,0.5,0.05
Q_850mb_T2,G2,0.54,0,0.51,0.02,0.49,0.03
Q_850mb_T3,G2,0.55,0,0.52,0.03,0.5,0.02
Q_850mb_T4,G2,0.54,0,0.52,0.05,0.5,0.09
Q_825mb_T1,G2,0.54,0.01,0.51,0.1,0.49,0.05
Q_825mb_T2,G2,0.54,0.01,0.51,0.03,0.49,0.04
Q_825mb_T3,G2,0.54,0.01,0.52,0.1,0.5,0.06
Q_825mb_T4,G2,0.54,0,0.51,0.04,0.49,0.06
Q_800mb_T1,G2,0.54,0,0.52,0.09,0.5,0.07
Q_800mb_T2,G2,0.54,0.01,0.52,0.08,0.5,0
Q_800mb_T3,G2,0.54,0,0.52,0.08,0.5,0.09
Q_800mb_T4,G2,0.54,0.01,0.52,0.08,0.5,0.05
Q_775mb_T1,G2,0.54,0.01,0.52,0.06,0.5,0.06
Q_775mb_T2,G2,0.54,0.01,0.51,0.03,0.49,0
