,C0_Prob,C1_Prob
0,0.0004232605,0.99957675
1,0.00071075064,0.9992893
2,2.6398982e-07,0.99999976
3,2.5377587e-09,1.0
4,1.969504e-12,1.0
5,8.709106e-12,1.0
6,1.9253561e-12,1.0
7,3.575376e-12,1.0
8,1.271123e-11,1.0
9,1.0083033e-10,1.0
10,1.1029609e-10,1.0
11,2.2524196e-07,0.99999976
12,5.512599e-09,1.0
13,0.0012114939,0.99878854
14,1.738831e-06,0.9999982
15,1.3897895e-07,0.9999999
16,8.182248e-06,0.9999918
17,3.7962054e-05,0.9999621
18,5.7621523e-06,0.9999943
19,0.013665829,0.98633415
20,0.0775327,0.92246735
21,0.99969125,0.00030882173
22,0.080893144,0.91910684
23,0.99996555,3.4412322e-05
24,0.9998629,0.0001370902
25,0.011066899,0.9889331
26,0.0012828654,0.9987172
27,5.9320613e-05,0.99994063
28,7.229363e-05,0.99992776
29,7.0147473e-07,0.9999993
30,1.2199661e-09,1.0
31,3.2607663e-09,1.0
32,4.7619295e-09,1.0
33,2.069123e-08,1.0
34,3.2404612e-09,1.0
35,2.6743612e-05,0.9999733
36,7.8141376e-08,0.9999999
37,0.0006142056,0.99938583
38,2.5183374e-08,1.0
39,7.7727e-07,0.99999917
40,2.4161486e-06,0.9999976
41,2.8625731e-05,0.9999714
42,3.3657262e-08,1.0
43,2.5783443e-06,0.9999974
44,2.4583433e-09,1.0
45,1.1224662e-07,0.9999999
46,7.1182837e-09,1.0
47,3.968451e-07,0.99999964
48,7.446275e-10,1.0
49,0.00091614743,0.9990839
50,3.576277e-05,0.99996424
51,8.537637e-05,0.99991465
52,6.324799e-08,0.9999999
53,0.0034203432,0.9965797
54,3.5991492e-05,0.999964
55,6.556174e-06,0.99999344
56,3.2823738e-10,1.0
57,1.0501776e-06,0.9999989
58,1.6511777e-07,0.9999999
59,6.242659e-07,0.9999994
60,8.7848245e-10,1.0
61,5.798412e-05,0.99994206
62,3.4798938e-06,0.99999654
63,5.1864106e-05,0.99994814
64,8.1176715e-08,0.9999999
65,1.6693555e-05,0.9999833
66,8.1749116e-05,0.9999182
67,1.8882998e-05,0.99998116
68,0.08785324,0.91214675
69,5.258313e-09,1.0
70,4.87278e-10,1.0
71,9.2724584e-08,0.9999999
72,1.13729975e-05,0.9999887
73,0.0015828921,0.99841714
74,1.0397896e-08,1.0
75,3.684789e-05,0.99996316
76,1.2224941e-08,1.0
77,1.8859624e-06,0.9999981
78,5.4346987e-08,1.0
79,9.485717e-05,0.9999051
80,6.7941955e-06,0.9999932
81,6.661417e-05,0.99993336
82,6.255537e-08,0.9999999
83,1.9279181e-05,0.9999807
84,0.0006844922,0.9993155
85,0.014375869,0.9856242
86,4.9161567e-06,0.9999951
87,0.00036758443,0.99963236
88,0.0075118,0.99248827
89,0.07048645,0.9295136
90,0.005194755,0.9948053
91,0.0005268161,0.99947315
92,0.99959725,0.0004027984
93,0.00042242047,0.9995776
94,1.0486225e-08,1.0
95,0.0007966464,0.9992034
96,1.2493047e-06,0.9999988
97,0.00042211197,0.99957794
98,9.640793e-06,0.99999034
99,5.246644e-07,0.9999995
100,0.003646631,0.9963534
101,0.0112321405,0.9887679
102,0.004042082,0.9959579
103,2.9138464e-06,0.99999714
104,7.3338624e-06,0.9999926
105,0.042056575,0.95794344
106,0.011247577,0.9887524
107,3.0223334e-06,0.999997
108,0.024531262,0.97546875
109,0.015705716,0.9842943
110,0.008223185,0.9917768
111,9.108442e-05,0.9999089
112,6.481538e-05,0.99993515
113,0.0012466956,0.9987533
114,7.3571274e-09,1.0
115,0.00010974085,0.9998902
116,2.4760743e-07,0.99999976
117,9.749444e-05,0.9999025
118,8.7917715e-06,0.9999912
119,5.7867675e-07,0.9999994
120,8.1471484e-07,0.99999917
121,0.0004312636,0.99956876
122,2.2189688e-08,1.0
123,6.093984e-08,0.9999999
124,4.8094207e-05,0.99995196
125,1.1230129e-05,0.9999888
126,7.107e-08,0.9999999
127,2.3712101e-07,0.99999976
128,7.2892367e-06,0.9999927
129,1.8225282e-05,0.99998176
130,3.4342947e-06,0.99999654
131,1.05316296e-07,0.9999999
132,3.131755e-08,1.0
133,5.8625737e-08,1.0
134,1.2201365e-06,0.9999988
135,1.6506158e-07,0.9999999
136,9.266008e-06,0.9999907
137,0.0002642288,0.9997358
138,2.5690864e-05,0.99997425
139,5.715678e-09,1.0
140,3.3253582e-09,1.0
141,5.355273e-06,0.99999464
142,7.747997e-07,0.9999993
143,0.0022518185,0.9977482
144,0.00036720236,0.99963284
145,0.07402941,0.92597055
146,2.9878694e-05,0.9999701
147,0.0029566765,0.9970433
148,0.9999809,1.9055287e-05
149,1.0,1.0050473e-09
150,0.0013507052,0.9986493
151,1.3075228e-09,1.0
152,4.4528713e-07,0.9999995
153,0.0007292857,0.99927074
154,6.094816e-07,0.9999994
155,0.0065635615,0.99343646
156,2.0568268e-05,0.9999794
157,4.2264455e-05,0.9999577
158,1.6818793e-06,0.99999833
159,0.00036115161,0.9996388
160,3.8382236e-06,0.9999962
161,2.153442e-06,0.99999785
162,8.175404e-10,1.0
163,7.046219e-06,0.99999297
164,0.00020595064,0.99979407
165,6.133767e-07,0.9999994
166,3.47466e-07,0.99999964
167,2.3928173e-10,1.0
168,7.2883984e-07,0.9999993
169,4.1135927e-08,1.0
170,7.3088313e-13,1.0
171,1.8311607e-07,0.99999976
172,7.470935e-07,0.9999993
173,0.00022042595,0.99977964
174,5.5025378e-08,1.0
175,3.251527e-07,0.99999964
176,6.4048365e-08,0.9999999
177,3.0047938e-06,0.999997
178,9.038295e-09,1.0
179,5.983701e-08,0.9999999
180,1.6699334e-10,1.0
181,9.745866e-05,0.9999025
182,1.0477048e-06,0.9999989
183,1.1282234e-06,0.9999989
184,1.4694481e-09,1.0
185,0.00018355847,0.9998165
186,1.2170494e-07,0.9999999
187,4.568581e-05,0.99995434
188,4.0220363e-07,0.99999964
189,3.2864526e-07,0.99999964
190,1.261575e-07,0.9999999
191,1.8852125e-08,1.0
192,9.8914425e-11,1.0
193,8.133509e-07,0.99999917
194,6.668646e-06,0.9999933
195,2.45819e-08,1.0
196,1.5522449e-09,1.0
197,1.6278976e-06,0.99999833
198,6.227954e-08,0.9999999
199,5.9158367e-09,1.0
200,1.442735e-08,1.0
201,7.811907e-06,0.99999213
202,1.5961474e-10,1.0
203,0.00014989497,0.99985003
204,0.00020022277,0.9997998
205,0.00061003247,0.99939
206,4.781071e-08,1.0
207,6.3522915e-05,0.99993646
208,1.1412775e-06,0.9999988
209,6.0613533e-05,0.99993944
210,1.5487146e-08,1.0
211,0.00011869942,0.99988127
212,1.4857858e-09,1.0
213,2.023786e-06,0.999998
214,3.2897147e-09,1.0
215,7.3683293e-07,0.9999993
216,2.113312e-08,1.0
217,5.289035e-07,0.9999995
218,7.641388e-07,0.9999993
219,4.802302e-07,0.9999995
220,2.5620295e-07,0.99999976
221,0.00026891707,0.9997311
222,3.3627566e-05,0.9999664
223,2.9762314e-06,0.999997
224,0.001402029,0.9985979
225,0.0020608902,0.99793905
226,2.5148536e-06,0.9999975
227,1.913199e-08,1.0
228,6.836977e-05,0.9999316
229,8.05822e-05,0.9999194
230,5.3597946e-06,0.99999464
231,5.9660365e-06,0.99999404
232,0.005005245,0.99499476
233,9.145851e-08,0.9999999
234,1.0383834e-10,1.0
235,4.5866468e-08,1.0
236,5.0982572e-11,1.0
237,1.2019476e-06,0.9999988
238,2.5126194e-06,0.9999975
239,7.287189e-07,0.9999993
240,1.6294184e-06,0.99999833
241,0.004134979,0.995865
242,0.0033796113,0.9966204
243,9.886421e-05,0.9999012
244,0.00068368996,0.99931633
245,0.9999914,8.612521e-06
246,0.00019898248,0.999801
247,0.0010944521,0.99890554
248,0.995845,0.0041549476
249,2.6082369e-06,0.9999974
250,1.5123762e-06,0.99999845
251,3.9923307e-06,0.99999607
252,1.0191536e-11,1.0
253,2.5896432e-09,1.0
254,6.725227e-13,1.0
255,2.6961654e-08,1.0
256,6.6089356e-10,1.0
257,3.3137648e-09,1.0
258,8.5408807e-13,1.0
259,2.0898801e-06,0.99999785
260,1.2904397e-07,0.9999999
261,3.0977768e-05,0.999969
262,1.6731718e-11,1.0
263,3.4060417e-06,0.99999654
264,1.6421825e-09,1.0
265,9.751648e-09,1.0
266,1.5800497e-08,1.0
267,5.8900003e-08,1.0
268,1.9951938e-06,0.999998
269,2.5050824e-07,0.99999976
270,2.1610976e-08,1.0
271,2.0277e-06,0.999998
272,1.6771462e-06,0.99999833
273,2.2907263e-07,0.99999976
274,3.8032565e-05,0.999962
275,1.7705617e-07,0.9999999
276,1.5494201e-06,0.99999845
277,0.012743483,0.9872565
278,0.00015002096,0.9998499
279,0.00052956527,0.9994704
280,0.0011320555,0.998868
281,0.00051410275,0.99948585
282,6.7636365e-06,0.9999932
283,6.604065e-08,0.9999999
284,9.232473e-06,0.9999908
285,0.009391156,0.9906088
286,3.2493315e-08,1.0
287,9.27868e-05,0.99990726
288,6.800756e-06,0.9999932
289,2.3248145e-05,0.99997675
290,1.2965162e-07,0.9999999
291,0.012246701,0.9877532
292,6.974949e-06,0.99999297
293,1.0596909e-06,0.9999989
294,2.2055715e-08,1.0
295,6.0012315e-09,1.0
296,2.725511e-07,0.99999976
297,3.900267e-09,1.0
298,4.601824e-07,0.9999995
299,1.487529e-10,1.0
300,9.308469e-06,0.9999907
301,0.0004235733,0.9995764
302,2.590626e-07,0.99999976
303,1.0703674e-09,1.0
304,4.594926e-07,0.9999995
305,7.584816e-07,0.9999993
306,1.850136e-07,0.99999976
307,4.3149898e-12,1.0
308,2.7244267e-05,0.9999727
309,1.4385382e-07,0.9999999
310,9.314252e-09,1.0
311,3.4949069e-06,0.99999654
312,4.3675856e-05,0.99995637
313,1.28496595e-05,0.9999871
314,1.7850816e-07,0.9999999
315,3.0590152e-06,0.9999969
316,0.0004288101,0.99957114
317,0.0021159488,0.997884
318,2.084711e-06,0.999998
319,3.4988252e-06,0.99999654
320,4.450795e-05,0.99995553
321,0.02382252,0.97617745
322,0.00025508448,0.99974495
323,1.1756202e-09,1.0
324,7.0925626e-06,0.99999297
325,0.000252086,0.99974793
326,1.1335308e-08,1.0
327,6.558574e-08,0.9999999
328,4.1141913e-05,0.9999589
329,5.394403e-06,0.99999464
330,8.347404e-07,0.99999917
331,6.2699024e-10,1.0
332,5.2484734e-06,0.99999475
333,2.1697851e-05,0.9999783
334,2.461994e-06,0.9999975
335,3.174496e-06,0.9999968
336,3.7189897e-05,0.9999628
337,0.0001397112,0.9998603
338,8.8514874e-08,0.9999999
339,0.00023832118,0.99976164
340,0.00016855485,0.99983144
341,2.0753362e-06,0.999998
342,6.8741645e-07,0.9999993
343,3.585415e-08,1.0
344,0.00014046567,0.9998596
345,2.7746197e-05,0.9999722
346,1.07998085e-05,0.99998915
347,4.8593406e-06,0.9999951
348,1.4731442e-06,0.99999857
349,7.268955e-07,0.9999993
350,3.1001966e-06,0.9999969
351,1.6895438e-05,0.9999831
352,9.0214635e-05,0.99990976
353,1.4571521e-05,0.99998546
354,9.543466e-09,1.0
355,2.1878694e-08,1.0
356,1.746632e-08,1.0
357,4.650043e-06,0.99999535
358,4.6901082e-08,1.0
359,6.196761e-07,0.9999994
360,6.2849435e-06,0.9999937
361,0.0026272784,0.99737275
362,0.0007641707,0.99923587
363,8.8055465e-09,1.0
364,2.6310327e-05,0.99997365
365,8.954996e-05,0.9999105
366,1.5086828e-06,0.99999845
367,4.8894137e-05,0.9999511
368,0.00020975426,0.99979025
369,3.7030304e-07,0.99999964
370,3.487035e-05,0.9999651
371,1.21157e-06,0.9999988
372,6.856402e-05,0.99993145
373,0.0010140128,0.99898595
374,3.4651825e-07,0.99999964
375,5.40137e-07,0.9999994
376,7.964186e-05,0.99992037
377,0.00320326,0.9967968
378,0.0013272591,0.9986727
379,0.00013115106,0.99986887
380,0.00012137291,0.99987864
381,0.00085395196,0.999146
382,1.33228495e-08,1.0
383,2.412662e-05,0.9999759
384,7.843374e-08,0.9999999
385,2.3545877e-05,0.9999764
386,2.333899e-06,0.9999976
387,6.6582943e-06,0.9999933
388,1.3209892e-05,0.99998677
389,6.2990325e-06,0.9999937
390,7.0793765e-05,0.9999292
391,5.623896e-10,1.0
392,0.00012259716,0.99987733
393,0.0015089638,0.99849105
394,1.44682235e-05,0.9999856
395,2.1206593e-07,0.99999976
396,3.1100495e-07,0.99999964
397,1.8989483e-07,0.99999976
398,1.3905984e-06,0.99999857
399,1.06453925e-07,0.9999999
400,1.0157512e-06,0.9999989
401,9.35103e-08,0.9999999
402,3.564876e-08,1.0
403,5.9423247e-08,1.0
404,0.0018538428,0.9981462
405,4.9361883e-05,0.99995065
406,0.00025424294,0.9997458
407,4.21592e-06,0.9999958
408,2.3522102e-06,0.9999976
409,0.001814202,0.9981858
410,8.8203575e-07,0.99999917
411,1.0261713e-08,1.0
