,C0_Prob,C1_Prob
0,2.217779e-06,0.99999774
1,5.2542076e-05,0.9999474
2,2.569144e-08,1.0
3,3.100516e-08,1.0
4,9.585273e-10,1.0
5,3.0627973e-09,1.0
6,8.479566e-11,1.0
7,3.5894877e-11,1.0
8,1.7927708e-09,1.0
9,8.9782304e-08,0.9999999
10,1.8855043e-07,0.99999976
11,2.8380658e-05,0.9999716
12,4.5461857e-10,1.0
13,8.286828e-05,0.99991715
14,1.0830236e-05,0.99998915
15,5.4806746e-06,0.9999945
16,5.0442797e-09,1.0
17,3.1380193e-07,0.99999964
18,2.298429e-07,0.99999976
19,2.6972491e-05,0.99997306
20,0.003063018,0.99693704
21,0.9985018,0.001498236
22,0.001448474,0.99855155
23,1.0,2.1606237e-08
24,1.0,5.0755484e-09
25,0.0014369389,0.9985631
26,1.0409651e-05,0.9999896
27,7.299414e-09,1.0
28,4.3213817e-07,0.9999995
29,1.0068054e-05,0.99999
30,1.0759358e-05,0.9999893
31,1.8190982e-06,0.9999982
32,1.5795458e-09,1.0
33,5.9774845e-07,0.9999994
34,3.077767e-08,1.0
35,0.00010892962,0.99989104
36,3.267465e-09,1.0
37,0.00015521131,0.9998448
38,1.3817802e-05,0.9999862
39,0.0008066065,0.9991934
40,4.6676014e-08,1.0
41,6.4979824e-05,0.99993503
42,5.570492e-06,0.9999944
43,5.3367507e-06,0.99999464
44,6.5778014e-09,1.0
45,5.159351e-07,0.9999995
46,4.7319537e-07,0.9999995
47,1.2100019e-06,0.9999988
48,1.1189285e-07,0.9999999
49,0.0003595616,0.99964046
50,2.2915135e-06,0.99999774
51,1.09511175e-05,0.99998903
52,5.501947e-06,0.9999945
53,0.0005470258,0.999453
54,4.364413e-05,0.99995637
55,2.7311593e-08,1.0
56,2.4055856e-07,0.99999976
57,0.00012637621,0.99987364
58,1.4221973e-08,1.0
59,5.9776717e-06,0.99999404
60,4.816874e-07,0.9999995
61,0.003926067,0.99607396
62,1.05756235e-05,0.9999894
63,0.0008565403,0.9991435
64,0.00028863343,0.99971133
65,0.001518083,0.9984819
66,0.00026499043,0.99973506
67,0.002441602,0.99755836
68,0.002820804,0.99717915
69,2.5736503e-05,0.99997425
70,2.1576179e-07,0.99999976
71,8.267355e-07,0.99999917
72,6.91395e-05,0.99993086
73,6.748154e-08,0.9999999
74,8.226848e-06,0.9999918
75,3.4080153e-05,0.9999659
76,3.389556e-08,1.0
77,2.3415964e-07,0.99999976
78,1.7111552e-07,0.9999999
79,2.8895747e-06,0.99999714
80,1.6421714e-05,0.99998355
81,1.2614355e-07,0.9999999
82,2.713482e-05,0.9999728
83,1.441495e-07,0.9999999
84,7.2343532e-06,0.9999927
85,0.0050732377,0.9949268
86,2.0294956e-06,0.999998
87,0.007033695,0.9929663
88,0.04012633,0.95987374
89,0.6504415,0.3495584
90,0.0002843501,0.9997156
91,0.00019220293,0.9998078
92,0.9998975,0.00010256808
93,0.068399966,0.9316
94,3.5983473e-06,0.9999964
95,1.0586182e-06,0.9999989
96,3.3230604e-05,0.99996674
97,0.00071024144,0.99928975
98,2.2217994e-06,0.99999774
99,4.3086387e-05,0.99995697
100,0.0031356183,0.9968644
101,0.0009599069,0.99904007
102,2.2974365e-05,0.999977
