Date,VIS,CAT
20130510,7,1
20130511,10,1
20130511,10,1
20130511,10,1
20130511,10,1
20130513,10,1
20130513,10,1
20130513,10,1
20130513,10,1
20130514,10,1
20130514,10,1
20130514,10,1
20130514,10,1
20130516,7,1
20130516,7,1
20130516,7,1
20130516,5,1
20130518,7,1
20130518,5,1
20130518,7,1
20130518,5,1
20130519,7,1
20130519,4,1
20130519,7,1
20130519,7,1
20130520,7,1
20130520,5,1
20130520,7,1
20130520,7,1
20130521,7,1
20130521,5,1
20130521,7,1
20130521,7,1
20130522,5,1
20130522,4,1
20130522,7,1
20130522,10,1
20130523,7,1
20130523,5,1
20130523,7,1
20130523,7,1
20130524,7,1
20130524,7,1
20130524,10,1
20130524,10,1
20130526,10,1
20130526,10,1
20130526,10,1
20130526,10,1
20130527,10,1
20130527,7,1
20130527,10,1
20130527,10,1
20130528,10,1
20130528,7,1
20130528,10,1
20130528,10,1
20130529,10,1
20130529,7,1
20130529,7,1
20130529,10,1
20130530,10,1
20130530,7,1
20130530,10,1
20130530,10,1
20130531,10,1
20130531,10,1
20130531,10,1
20130531,10,1
20130601,10,1
20130601,10,1
20130601,10,1
20130601,10,1
20130603,10,1
20130603,10,1
20130603,10,1
20130603,10,1
20130604,10,1
20130604,10,1
20130604,10,1
20130604,10,1
20130605,10,1
20130605,10,1
20130605,10,1
20130605,10,1
20130606,10,1
20130606,10,1
20130606,10,1
20130606,10,1
20130608,10,1
20130608,10,1
20130608,10,1
20130608,10,1
20130609,10,1
20130609,10,1
20130609,10,1
20130609,10,1
20130610,10,1
20130610,10,1
20130610,10,1
20130610,10,1
20130611,10,1
20130611,10,1
20130611,10,1
20130611,7,1
20130613,10,1
20130613,10,1
20130613,10,1
20130613,10,1
20130614,10,1
20130614,10,1
20130614,10,1
20130614,10,1
20130615,10,1
20130615,10,1
20130615,10,1
20130615,10,1
20130616,10,1
20130616,10,1
20130616,7,1
20130616,10,1
20130617,10,1
20130617,7,1
20130617,7,1
20130617,10,1
20130618,10,1
20130618,10,1
20130618,10,1
20130618,10,1
20130619,10,1
20130619,7,1
20130619,10,1
20130619,10,1
20130620,10,1
20130620,7,1
20130620,7,1
20130620,7,1
20130621,7,1
20130621,5,1
20130621,10,1
20130621,10,1
20130623,10,1
20130623,5,1
20130623,7,1
20130623,7,1
20130624,7,1
20130624,7,1
20130624,10,1
20130624,7,1
20130625,7,1
20130625,5,1
20130625,7,1
20130625,7,1
20130626,7,1
20130626,5,1
20130626,7,1
20130626,7,1
20130629,10,1
20130629,7,1
20130629,10,1
20130629,10,1
20130701,10,1
20130701,10,1
20130701,10,1
20130701,10,1
20130703,10,1
20130703,10,1
20130703,10,1
20130703,10,1
20130705,10,1
20130705,10,1
20130705,10,1
20130705,10,1
20130706,10,1
20130706,10,1
20130706,10,1
20130706,10,1
20130707,10,1
20130707,10,1
20130707,10,1
20130707,10,1
20130709,10,1
20130709,10,1
20130709,10,1
20130709,7,1
