group,PSS_Mean,PSS_STD,HSS_Mean,HSS_STD,CSS_Mean,CSS_STD
G1,0.534654354,0,0.505415799,0,0.479399288,0
G2,0.536505349,0,0.521423058,0,0.507218555,0
G3,0.535579852,0,0.513308488,0,0.492928201,0
G4,0.537430847,0,0.529768997,0,0.522336562,0
G5,0.533728857,0,0.497736012,0,0.466572479,0
