,Unnamed: 0,Feature,POD_mean,F_mean,FAR_mean,CSI_mean,PSS_mean,HSS_mean,ORSS_mean,CSS_mean,Score,groups
0,0,FRICV_surface,0.52238806,0.017584452,0.520547945,0.333333333,0.504803608,0.483812033,0.9677970370000001,0.46460286700000003,3.6187967000000043,g1
1,1,FRICV_surface,0.5074626870000001,0.017584452,0.5277777779999999,0.32380952399999996,0.489878235,0.47278399200000004,0.965847813,0.4569161,4.721600799999997,g1
2,2,FRICV_surface,0.5074626870000001,0.017584452,0.5277777779999999,0.32380952399999996,0.489878235,0.47278399200000004,0.965847813,0.4569161,4.721600799999997,g1
3,3,FRICV_surface,0.52238806,0.015270708000000001,0.485294118,0.35,0.5071173520000001,0.503476556,0.972039822,0.499891068,1.652344400000004,g1
4,4,UGRD_10maboveground,0.5074626870000001,0.017121703000000002,0.521126761,0.326923077,0.490340984,0.476556469,0.966747008,0.46357421299999996,4.344353099999999,g1
5,5,UGRD_10maboveground,0.5074626870000001,0.017121703000000002,0.521126761,0.326923077,0.490340984,0.476556469,0.966747008,0.46357421299999996,4.344353099999999,g1
6,6,UGRD_10maboveground,0.5074626870000001,0.0180472,0.534246575,0.32075471699999997,0.489415486,0.469063805,0.9649485940000001,0.4504402,5.093619500000003,g1
7,7,UGRD_10maboveground,0.5074626870000001,0.017121703000000002,0.521126761,0.326923077,0.490340984,0.476556469,0.966747008,0.46357421299999996,4.344353099999999,g1
8,8,UGRD_975mb,0.5074626870000001,0.016658954,0.514285714,0.330097087,0.49080373200000005,0.48038234799999996,0.967646178,0.47042234899999996,3.961765200000002,g1
9,9,UGRD_975mb,0.5074626870000001,0.016658954,0.514285714,0.330097087,0.49080373200000005,0.48038234799999996,0.967646178,0.47042234899999996,3.961765200000002,g1
10,10,UGRD_975mb,0.5074626870000001,0.0180472,0.534246575,0.32075471699999997,0.489415486,0.469063805,0.9649485940000001,0.4504402,5.093619500000003,g1
