C0_Prob,C1_Prob
0.17976344,0.82023656
0.16696632,0.8330336
0.003097323,0.99690264
3.42E-06,0.99999654
1.15E-07,0.9999999
1.02E-05,0.99998975
1.23E-05,0.9999876
2.99E-06,0.999997
3.44E-06,0.99999654
3.20E-05,0.99996793
2.43E-05,0.9999757
0.002271381,0.99772865
7.99E-06,0.999992
0.000806024,0.99919397
0.001524805,0.99847513
0.013589069,0.9864109
0.019997755,0.9800023
0.050633032,0.9493669
0.00129273,0.9987073
0.002387523,0.9976125
0.010177327,0.98982275
0.43354103,0.56645894
0.016402863,0.9835971
0.93448496,0.06551504
0.9330776,0.06692246
0.6809975,0.31900254
0.030044382,0.9699556
0.5797448,0.42025515
0.001408103,0.99859184
0.000421856,0.9995782
1.78E-05,0.99998224
8.70E-05,0.999913
2.67E-05,0.9999733
0.002535876,0.99746406
0.000126332,0.99987364
0.000330384,0.9996697
0.00018968,0.9998104
0.001231534,0.9987684
0.000302998,0.99969697
0.000307795,0.9996922
0.006904979,0.993095
0.025224367,0.9747756
0.000326471,0.9996735
3.08E-05,0.99996924
0.000211036,0.99978894
0.000663575,0.9993364
8.30E-05,0.99991703
7.68E-06,0.9999924
6.16E-05,0.99993837
0.002715034,0.997285
0.001076907,0.9989231
0.002531881,0.9974681
0.009427904,0.99057204
0.059576426,0.94042355
0.001522896,0.99847716
0.000518365,0.9994816
0.008189761,0.99181026
0.015916867,0.9840831
0.002136061,0.99786395
0.000613155,0.9993868
0.004042461,0.99595755
0.017826483,0.98217344
0.001046657,0.99895334
0.001240966,0.99875903
0.003886592,0.9961134
0.033883158,0.96611685
0.040558353,0.9594416
0.010404386,0.9895956
0.00828655,0.9917135
0.010715046,0.98928493
5.78E-08,1
6.57E-07,0.9999993
0.000113464,0.9998865
4.57E-05,0.99995434
2.85E-06,0.99999714
1.09E-05,0.99998903
0.000101521,0.99989843
0.001470615,0.9985293
0.000612218,0.99938774
0.000363827,0.9996362
0.000740993,0.99925894
0.008247948,0.9917521
0.000347954,0.999652
5.17E-05,0.99994826
0.008939061,0.9910609
0.04913832,0.95086163
0.007540415,0.9924596
0.011657542,0.98834246
0.023037057,0.9769629
0.28569844,0.7143016
0.034365103,0.9656348
0.027858483,0.9721415
0.57962155,0.42037842
0.039268535,0.9607315
0.000230178,0.99976987
0.000981114,0.9990189
0.005830619,0.99416935
0.005059996,0.99494004
0.011342518,0.9886574
0.004549185,0.9954508
0.103417255,0.8965827
0.075855434,0.92414457
0.033127356,0.96687263
0.101315655,0.8986843
0.065735504,0.93426454
0.09223113,0.9077689
0.18312664,0.8168734
0.2649069,0.73509306
0.1258264,0.8741736
0.10951979,0.8904802
0.04970946,0.95029056
0.07787618,0.9221238
0.000105063,0.999895
0.000128414,0.9998716
0.000121026,0.999879
0.000112333,0.9998877
0.000168265,0.9998317
0.000813977,0.999186
0.000126912,0.99987304
3.25E-05,0.99996746
0.000405701,0.9995943
0.000647255,0.99935275
8.96E-05,0.99991035
4.69E-06,0.99999535
0.1926452,0.80735475
0.014521201,0.98547876
5.00E-05,0.99995005
0.000240422,0.9997596
0.003650726,0.9963492
0.013859893,0.98614013
0.005245906,0.9947541
0.001037649,0.9989624
0.026975624,0.9730244
0.030394549,0.9696055
0.022320637,0.9776793
0.01567763,0.98432237
0.31748757,0.6825124
0.004348674,0.9956513
0.007298206,0.99270177
0.001187778,0.9988122
0.003001211,0.9969988
0.009108139,0.9908919
5.31E-05,0.99994683
0.007591045,0.992409
0.008399706,0.9916003
0.00892374,0.99107623
0.02061281,0.97938716
0.016034797,0.98396516
0.8997133,0.10028676
0.9877243,0.012275673
0.001537882,0.9984621
3.30E-07,0.99999964
1.78E-05,0.99998224
0.000842489,0.99915755
4.99E-05,0.99995005
0.000294523,0.9997055
0.000680356,0.9993197
0.003189027,0.996811
0.002476825,0.9975231
0.000760358,0.9992397
0.000171821,0.9998281
0.000531423,0.9994686
1.83E-05,0.99998176
3.50E-06,0.99999654
2.66E-05,0.9999733
0.00059532,0.99940467
7.99E-07,0.99999917
1.89E-05,0.99998116
0.000785977,0.99921405
0.000309042,0.999691
0.000728867,0.9992711
6.69E-06,0.9999933
0.000122703,0.99987733
0.000323879,0.9996761
0.000155358,0.9998447
1.89E-05,0.99998116
2.37E-05,0.9999763
0.000527281,0.9994728
0.000154633,0.9998454
0.000248218,0.99975175
0.002860963,0.9971391
0.01708016,0.9829198
0.000450481,0.99954945
8.31E-05,0.9999169
0.00017584,0.9998242
0.000488647,0.99951136
3.59E-05,0.9999641
0.000198645,0.99980134
0.004742395,0.99525756
0.000812988,0.99918705
0.000556251,0.9994437
8.68E-05,0.9999132
0.000659625,0.99934036
0.029938601,0.9700614
0.001789671,0.9982103
5.81E-05,0.99994195
0.000602007,0.999398
0.003258475,0.9967416
0.000318771,0.99968123
4.12E-05,0.9999589
6.63E-07,0.9999993
1.69E-06,0.99999833
8.24E-06,0.9999918
4.89E-06,0.9999951
0.000243526,0.9997565
0.000222883,0.99977714
2.29E-05,0.999977
2.51E-05,0.99997497
0.000103803,0.99989617
0.000498926,0.9995011
3.20E-05,0.99996805
9.00E-06,0.99999106
0.000133248,0.9998667
0.000214613,0.99978536
1.99E-05,0.9999801
8.16E-06,0.9999919
0.000367108,0.99963284
0.00149265,0.9985073
0.000466591,0.9995334
4.18E-05,0.99995816
0.001125415,0.9988746
0.014403352,0.9855966
0.000872797,0.9991272
0.003754572,0.99624544
0.22619388,0.77380615
0.24439183,0.7556082
0.040513862,0.9594861
0.013346347,0.9866536
0.07898794,0.92101204
0.040792074,0.9592079
0.011265882,0.9887341
0.12692334,0.8730767
0.07214841,0.9278516
0.001383414,0.9986166
3.78E-06,0.9999962
5.68E-06,0.9999943
1.23E-05,0.9999877
3.41E-05,0.9999659
0.000273021,0.99972695
0.000652713,0.99934727
0.05263928,0.9473607
0.075841144,0.9241588
0.012776461,0.9872235
0.021420233,0.97857976
0.22979726,0.77020276
0.7087072,0.29129276
0.012918016,0.987082
0.004036801,0.9959632
0.8574048,0.14259514
0.002848105,0.99715185
0.000388135,0.9996119
3.94E-07,0.99999964
2.43E-06,0.9999976
7.63E-05,0.9999237
1.89E-07,0.99999976
6.32E-07,0.9999994
5.59E-06,0.9999944
4.43E-05,0.99995565
2.40E-06,0.9999976
1.24E-06,0.9999988
0.000145809,0.9998542
0.000258134,0.99974185
8.11E-05,0.99991894
1.25E-05,0.9999875
0.000149271,0.99985075
0.004139063,0.995861
0.000104064,0.99989593
7.18E-06,0.99999285
0.00028954,0.9997104
0.001403695,0.99859625
9.88E-05,0.9999012
8.62E-05,0.9999138
0.000604774,0.99939525
0.001810987,0.99818903
0.000217729,0.99978226
0.000270089,0.99972993
0.005643771,0.9943562
0.023986917,0.97601306
0.008877344,0.9911226
0.011463122,0.98853683
0.009525,0.990475
0.44180423,0.55819577
0.001165162,0.9988349
0.000320413,0.99967957
0.000840154,0.9991598
0.001198142,0.9988018
5.63E-05,0.99994373
5.94E-05,0.9999405
0.000358346,0.99964166
0.004060597,0.9959394
0.002031907,0.997968
0.000352853,0.99964714
0.000663557,0.9993364
0.000234539,0.99976546
8.24E-05,0.9999176
0.000144277,0.99985576
0.000669153,0.9993309
3.39E-05,0.999966
0.000251294,0.99974865
4.39E-05,0.99995613
0.006908279,0.9930917
0.001215533,0.9987845
0.000577884,0.9994222
0.000425484,0.9995745
0.004093363,0.9959066
0.002023986,0.997976
0.000206417,0.9997936
0.00054322,0.9994568
0.014042961,0.985957
1.30E-05,0.999987
8.58E-07,0.99999917
0.000115231,0.9998847
0.000237519,0.9997625
0.000360761,0.9996393
4.79E-05,0.9999521
2.66E-05,0.9999734
6.23E-06,0.9999938
0.000178071,0.99982196
0.000126724,0.9998733
0.000101806,0.9998982
0.0025288,0.9974712
0.015671533,0.9843285
0.000435784,0.99956423
0.00041959,0.99958044
0.19848834,0.80151165
0.42246464,0.57753533
0.004907052,0.995093
0.4708916,0.5291084
0.028895007,0.971105
0.010012564,0.98998743
0.006912314,0.9930877
0.002587366,0.9974126
0.06173813,0.93826187
0.20401564,0.7959843
0.008510703,0.9914893
0.000608794,0.9993912
4.63E-06,0.99999535
1.25E-05,0.9999875
5.28E-06,0.99999475
2.33E-06,0.9999976
0.00082618,0.9991738
0.000308172,0.99969184
0.000235731,0.99976426
0.000593465,0.9994066
3.78E-05,0.9999622
0.000568753,0.9994312
0.000653303,0.9993467
0.000288935,0.9997111
0.004335611,0.9956644
0.006172001,0.993828
0.005142079,0.9948579
0.061275903,0.93872416
0.022100972,0.9778991
0.008037456,0.9919626
8.80E-07,0.99999917
8.08E-06,0.9999919
0.000281684,0.99971825
0.001256258,0.9987437
0.000215589,0.9997844
0.004034483,0.9959655
0.07944173,0.9205582
0.025638364,0.97436166
0.027283765,0.9727163
0.00798753,0.99201244
0.11595072,0.88404924
0.09558763,0.9044123
0.005939194,0.9940608
0.000164598,0.9998354
0.015822541,0.9841775
0.004997042,0.9950029
0.002287443,0.9977126
0.00089073,0.9991092
0.22221228,0.77778774
0.16401957,0.8359804
0.002205448,0.9977945
0.002578447,0.9974216
0.000474846,0.9995252
0.029881531,0.9701185
0.00028038,0.99971956
