,C0_Prob,C1_Prob
0,0.03404004,0.96595997
1,0.038858373,0.96114165
2,7.3863123e-07,0.9999993
3,2.9907258e-07,0.99999964
4,3.8075182e-10,1.0
5,1.6020126e-10,1.0
6,1.6450728e-13,1.0
7,3.8541457e-12,1.0
8,1.7632736e-13,1.0
9,1.8146706e-10,1.0
10,1.4380124e-08,1.0
11,5.03321e-05,0.9999497
12,7.245693e-07,0.9999993
13,0.0023906128,0.9976094
14,3.7484206e-08,1.0
15,1.2982851e-05,0.999987
16,0.00010243456,0.9998976
17,0.0025308945,0.99746907
18,3.101762e-05,0.999969
19,0.0013164518,0.9986835
20,0.1904395,0.8095605
21,0.9884189,0.011581111
22,0.011758716,0.98824126
23,0.9895376,0.01046238
24,0.9951047,0.0048952955
25,0.17804073,0.82195926
26,0.00089623703,0.9991037
27,0.048117097,0.9518829
28,0.0003309718,0.9996691
29,1.5866834e-05,0.99998415
30,1.0945832e-06,0.9999989
31,2.0386891e-07,0.99999976
32,5.1065996e-10,1.0
33,7.0612816e-07,0.9999993
34,7.350675e-05,0.99992645
35,2.4600844e-05,0.99997544
36,8.422607e-05,0.9999157
37,0.012984251,0.9870157
38,4.687356e-05,0.99995315
39,0.00028570692,0.9997143
40,0.008795635,0.9912043
41,0.023292063,0.9767079
42,7.0401134e-06,0.99999297
43,4.327041e-06,0.9999957
44,2.1551989e-08,1.0
45,1.9492804e-06,0.9999981
46,7.2547925e-07,0.9999993
47,2.6057432e-06,0.9999974
48,4.8981583e-08,1.0
49,0.0046013403,0.9953987
50,1.1283514e-06,0.9999989
51,6.164655e-05,0.99993837
52,4.3454417e-08,1.0
53,6.922394e-05,0.99993074
54,3.7639065e-06,0.9999962
55,1.1749032e-06,0.9999988
56,1.5444366e-09,1.0
57,6.6765433e-06,0.9999933
58,1.1375354e-08,1.0
59,8.8700276e-08,0.9999999
60,1.2139739e-07,0.9999999
61,0.0011746248,0.9988254
62,5.455903e-06,0.9999945
63,0.0066233412,0.9933767
64,0.00013916683,0.99986076
65,1.9738643e-05,0.9999802
66,8.230371e-05,0.99991775
67,0.0028749602,0.9971251
68,0.12625639,0.8737436
69,0.00047924745,0.9995208
70,2.74165e-08,1.0
71,1.1485775e-09,1.0
72,2.9105833e-05,0.9999709
73,8.0083875e-05,0.9999199
74,7.929021e-08,0.9999999
75,1.6858692e-05,0.9999832
76,4.9851153e-08,1.0
77,4.2497657e-05,0.99995744
78,4.067905e-06,0.99999595
79,4.360392e-06,0.9999956
80,0.00017843541,0.9998216
81,0.00022950758,0.99977046
82,0.000108050284,0.999892
83,9.245665e-05,0.9999075
84,0.007523099,0.9924769
85,0.1854543,0.8145457
86,0.00012562156,0.99987435
87,0.061177876,0.93882215
88,0.007582313,0.9924177
89,0.059132,0.940868
90,0.014505898,0.98549414
91,2.9728317e-05,0.9999703
92,0.8875553,0.11244475
93,0.16006202,0.83993804
94,5.0966546e-06,0.9999949
95,1.6579485e-05,0.99998343
96,0.00021920868,0.99978083
97,0.002159627,0.9978404
98,6.931787e-05,0.9999306
99,3.4883567e-06,0.99999654
100,0.05633168,0.9436683
101,0.020536633,0.97946334
102,0.0010602813,0.9989397
103,5.487142e-07,0.9999994
104,0.00029384453,0.9997061
105,0.045591254,0.95440876
106,0.021508127,0.9784919
107,8.4953456e-08,0.9999999
108,0.0019101532,0.99808985
109,0.017500462,0.9824996
110,0.023857193,0.97614276
111,3.0613178e-06,0.9999969
112,0.0008036485,0.99919635
113,0.0109018395,0.9890982
114,1.0716942e-05,0.9999893
115,2.6190215e-05,0.9999738
116,2.4169289e-05,0.9999758
117,0.0020751413,0.9979248
118,1.5222031e-05,0.99998474
119,3.057651e-07,0.99999964
120,2.071245e-05,0.99997926
121,0.003226216,0.9967738
122,4.7089366e-06,0.99999523
123,1.39893634e-08,1.0
124,0.02001035,0.9799897
125,0.0012693813,0.9987306
