,C0_Prob,C1_Prob
0,0.005579894,0.9944201
1,8.321736e-06,0.99999166
2,1.515927e-07,0.9999999
3,2.0807762e-10,1.0
4,5.057875e-12,1.0
5,1.2982082e-10,1.0
6,1.361097e-10,1.0
7,5.5008376e-12,1.0
8,1.682887e-09,1.0
9,5.510636e-08,1.0
10,1.1033896e-07,0.9999999
11,2.259465e-08,1.0
12,3.9020847e-08,1.0
13,0.0016104325,0.9983896
14,1.9888217e-05,0.9999801
15,2.2065556e-06,0.99999774
16,2.5875894e-05,0.99997413
17,0.00058844977,0.9994116
18,0.0006097976,0.99939024
19,0.0009360866,0.9990639
20,0.0114637595,0.98853624
21,0.998574,0.0014259353
22,0.054613367,0.9453866
23,0.9991503,0.000849707
24,0.99999154,8.476572e-06
25,0.36916438,0.63083565
26,0.00010594941,0.999894
27,0.00023562754,0.9997644
28,2.2918852e-05,0.9999771
29,2.6286953e-05,0.99997365
30,5.1438815e-11,1.0
31,2.2295067e-08,1.0
32,5.2308667e-07,0.9999995
33,0.00015375903,0.9998462
34,3.108157e-05,0.9999689
35,2.8742399e-05,0.9999713
36,4.2682863e-05,0.9999573
37,0.008511802,0.9914882
38,0.0005534817,0.99944645
39,6.029645e-05,0.9999397
40,0.00038296083,0.999617
41,0.047432765,0.9525672
42,3.8674232e-05,0.9999614
43,1.2305063e-06,0.9999988
44,3.8423363e-07,0.99999964
45,0.00013544224,0.9998646
46,2.7762867e-06,0.99999726
47,8.860911e-07,0.99999917
48,2.2275435e-05,0.9999777
49,0.0118900435,0.98810995
50,6.893613e-05,0.9999311
51,0.0004411803,0.99955875
52,6.125282e-05,0.9999387
53,0.088002495,0.91199756
54,9.609069e-06,0.99999034
55,4.7822837e-08,1.0
56,1.072884e-08,1.0
57,5.0365184e-06,0.999995
58,1.924087e-11,1.0
59,1.4443442e-10,1.0
60,7.058674e-09,1.0
61,0.01913892,0.980861
62,5.5331075e-06,0.9999945
63,0.0002503996,0.9997496
64,0.00025585954,0.9997441
65,0.0022733556,0.9977266
66,8.191698e-05,0.9999181
67,0.00010434131,0.9998957
68,0.00845872,0.9915413
69,1.2744121e-05,0.99998724
70,7.0698334e-08,0.9999999
71,3.912447e-10,1.0
72,4.603867e-05,0.999954
73,0.0009171099,0.9990829
74,1.052829e-06,0.9999989
75,3.1553012e-07,0.99999964
76,1.2011741e-06,0.9999988
77,0.00042606262,0.9995739
78,2.5632123e-06,0.9999974
79,2.5909823e-05,0.99997413
80,0.00010334711,0.99989665
81,0.01874284,0.9812571
82,3.2816795e-05,0.9999672
83,2.888693e-06,0.99999714
84,0.00026920336,0.99973077
85,0.46251652,0.5374835
86,0.0022334165,0.9977666
87,0.0018174145,0.99818265
88,0.0014578395,0.9985422
89,0.34482184,0.6551782
90,0.008235896,0.9917641
91,0.0002419404,0.99975806
92,0.99770266,0.002297386
93,0.028180946,0.97181904
94,8.5953225e-06,0.9999914
95,3.499389e-06,0.99999654
96,2.2681392e-05,0.99997735
97,0.00054050074,0.99945945
98,6.41144e-05,0.99993587
99,9.618263e-05,0.9999038
100,0.007139043,0.992861
101,0.007377172,0.99262285
102,0.0016334786,0.99836653
103,1.782636e-05,0.9999821
104,4.2695567e-05,0.9999573
105,0.003969175,0.99603075
106,0.0006560864,0.99934393
107,2.4208605e-06,0.9999976
108,0.00017765854,0.9998223
109,0.013615505,0.98638445
110,0.0861013,0.91389877
111,5.8403937e-05,0.9999416
112,9.678896e-05,0.9999032
113,0.0010399331,0.99896
114,1.9098723e-06,0.9999981
115,3.81388e-05,0.99996185
116,8.469788e-05,0.99991524
117,6.520943e-05,0.9999348
118,0.00011313163,0.9998869
119,2.8737164e-05,0.9999713
120,0.000120248784,0.9998797
121,0.002923487,0.9970765
122,4.589457e-06,0.99999547
123,9.83954e-08,0.9999999
124,0.00023666052,0.9997633
125,5.0838e-06,0.9999949
126,3.2570657e-10,1.0
127,8.701892e-10,1.0
128,2.0270525e-08,1.0
129,7.776009e-06,0.99999225
130,3.8486007e-05,0.9999615
131,4.713641e-06,0.99999523
132,0.00022861041,0.9997714
133,0.0032617766,0.99673826
134,0.0019429502,0.99805707
135,2.7211267e-06,0.99999726
136,0.0004945971,0.9995054
137,0.00037432142,0.9996257
138,2.952552e-06,0.999997
139,1.1715361e-07,0.9999999
140,5.4968e-08,1.0
141,3.065789e-07,0.99999964
142,2.7952555e-07,0.99999976
143,6.926124e-06,0.9999931
144,0.0018528388,0.99814713
145,0.043769587,0.95623046
146,0.00059641636,0.9994036
147,0.03323888,0.9667612
148,0.9928013,0.007198762
149,0.9949523,0.00504772
150,0.0054677813,0.9945322
151,3.905143e-09,1.0
152,8.402996e-10,1.0
153,6.876025e-05,0.9999312
154,2.986832e-07,0.99999964
155,1.0804163e-06,0.9999989
156,4.073224e-05,0.99995923
157,0.0030660464,0.99693394
158,0.0070296465,0.9929704
159,0.00027042863,0.9997296
