,Unnamed: 0,Date,VIS,CAT,CAT1600,CAT3200,CAT6400
138,138,20130222,10.0,1,1,1,1
139,139,20130222,10.0,1,1,1,1
140,140,20130223,10.0,1,1,1,1
141,141,20130223,10.0,1,1,1,1
142,142,20130223,10.0,1,1,1,1
143,143,20130223,10.0,1,1,1,1
144,144,20130224,10.0,1,1,1,1
145,145,20130224,5.0,1,1,1,0
146,146,20130224,10.0,1,1,1,1
147,147,20130224,5.0,1,1,1,0
148,148,20130225,0.5,0,0,0,0
149,149,20130225,0.5,0,0,0,0
150,150,20130225,7.0,1,1,1,1
151,151,20130225,7.0,1,1,1,1
152,152,20130226,10.0,1,1,1,1
153,153,20130226,10.0,1,1,1,1
154,154,20130226,10.0,1,1,1,1
155,155,20130226,10.0,1,1,1,1
156,156,20130227,10.0,1,1,1,1
157,157,20130227,10.0,1,1,1,1
158,158,20130227,10.0,1,1,1,1
159,159,20130227,10.0,1,1,1,1
160,160,20130228,10.0,1,1,1,1
161,161,20130228,10.0,1,1,1,1
162,162,20130228,10.0,1,1,1,1
163,163,20130228,10.0,1,1,1,1
164,164,20130301,10.0,1,1,1,1
165,165,20130301,10.0,1,1,1,1
166,166,20130301,10.0,1,1,1,1
167,167,20130301,10.0,1,1,1,1
168,168,20130302,10.0,1,1,1,1
169,169,20130302,10.0,1,1,1,1
170,170,20130302,10.0,1,1,1,1
171,171,20130302,10.0,1,1,1,1
172,172,20130303,10.0,1,1,1,1
173,173,20130303,10.0,1,1,1,1
174,174,20130303,10.0,1,1,1,1
175,175,20130303,10.0,1,1,1,1
176,176,20130304,10.0,1,1,1,1
177,177,20130304,10.0,1,1,1,1
178,178,20130304,7.0,1,1,1,1
179,179,20130304,7.0,1,1,1,1
180,180,20130305,7.0,1,1,1,1
181,181,20130305,5.0,1,1,1,0
182,182,20130305,10.0,1,1,1,1
183,183,20130305,10.0,1,1,1,1
184,184,20130306,10.0,1,1,1,1
185,185,20130306,10.0,1,1,1,1
186,186,20130306,10.0,1,1,1,1
187,187,20130306,10.0,1,1,1,1
188,188,20130307,10.0,1,1,1,1
189,189,20130307,10.0,1,1,1,1
190,190,20130307,10.0,1,1,1,1
191,191,20130307,10.0,1,1,1,1
192,192,20130308,10.0,1,1,1,1
193,193,20130308,7.0,1,1,1,1
194,194,20130308,10.0,1,1,1,1
195,195,20130308,7.0,1,1,1,1
196,196,20130309,7.0,1,1,1,1
197,197,20130309,7.0,1,1,1,1
198,198,20130309,7.0,1,1,1,1
199,199,20130309,5.0,1,1,1,0
200,200,20130311,10.0,1,1,1,1
201,201,20130311,10.0,1,1,1,1
202,202,20130311,10.0,1,1,1,1
203,203,20130311,10.0,1,1,1,1
204,204,20130312,10.0,1,1,1,1
205,205,20130312,10.0,1,1,1,1
206,206,20130312,10.0,1,1,1,1
207,207,20130312,10.0,1,1,1,1
208,208,20130313,10.0,1,1,1,1
209,209,20130313,10.0,1,1,1,1
210,210,20130313,10.0,1,1,1,1
211,211,20130313,10.0,1,1,1,1
212,212,20130314,10.0,1,1,1,1
213,213,20130314,10.0,1,1,1,1
214,214,20130314,10.0,1,1,1,1
215,215,20130314,10.0,1,1,1,1
216,216,20130316,10.0,1,1,1,1
217,217,20130316,10.0,1,1,1,1
218,218,20130316,10.0,1,1,1,1
219,219,20130316,7.0,1,1,1,1
220,220,20130317,7.0,1,1,1,1
221,221,20130317,7.0,1,1,1,1
222,222,20130317,7.0,1,1,1,1
223,223,20130317,7.0,1,1,1,1
224,224,20130318,1.5,1,1,0,0
225,225,20130318,7.0,1,1,1,1
226,226,20130318,7.0,1,1,1,1
227,227,20130318,7.0,1,1,1,1
228,228,20130319,5.0,1,1,1,0
229,229,20130319,10.0,1,1,1,1
230,230,20130319,10.0,1,1,1,1
231,231,20130319,7.0,1,1,1,1
232,232,20130320,5.0,1,1,1,0
233,233,20130320,10.0,1,1,1,1
234,234,20130320,10.0,1,1,1,1
235,235,20130320,10.0,1,1,1,1
236,236,20130321,10.0,1,1,1,1
237,237,20130321,10.0,1,1,1,1
238,238,20130321,10.0,1,1,1,1
239,239,20130321,10.0,1,1,1,1
240,240,20130322,7.0,1,1,1,1
241,241,20130322,5.0,1,1,1,0
242,242,20130322,7.0,1,1,1,1
243,243,20130322,7.0,1,1,1,1
244,244,20130323,5.0,1,1,1,0
245,245,20130323,0.75,0,0,0,0
246,246,20130323,7.0,1,1,1,1
247,247,20130323,5.0,1,1,1,0
248,248,20130324,0.25,0,0,0,0
249,249,20130324,7.0,1,1,1,1
250,250,20130324,10.0,1,1,1,1
251,251,20130324,10.0,1,1,1,1
252,252,20130325,10.0,1,1,1,1
253,253,20130325,10.0,1,1,1,1
254,254,20130325,10.0,1,1,1,1
255,255,20130325,10.0,1,1,1,1
256,256,20130326,10.0,1,1,1,1
257,257,20130326,10.0,1,1,1,1
258,258,20130326,10.0,1,1,1,1
259,259,20130326,10.0,1,1,1,1
260,260,20130327,10.0,1,1,1,1
261,261,20130327,10.0,1,1,1,1
262,262,20130327,10.0,1,1,1,1
263,263,20130327,10.0,1,1,1,1
264,264,20130328,10.0,1,1,1,1
265,265,20130328,10.0,1,1,1,1
266,266,20130328,10.0,1,1,1,1
267,267,20130328,10.0,1,1,1,1
268,268,20130329,10.0,1,1,1,1
269,269,20130329,10.0,1,1,1,1
270,270,20130329,10.0,1,1,1,1
271,271,20130329,10.0,1,1,1,1
272,272,20130330,10.0,1,1,1,1
273,273,20130330,10.0,1,1,1,1
274,274,20130330,10.0,1,1,1,1
275,275,20130330,10.0,1,1,1,1
276,276,20130401,7.0,1,1,1,1
277,277,20130401,3.0,1,1,0,0
278,278,20130401,10.0,1,1,1,1
279,279,20130401,7.0,1,1,1,1
280,280,20130403,5.0,1,1,1,0
281,281,20130403,10.0,1,1,1,1
282,282,20130403,10.0,1,1,1,1
283,283,20130403,10.0,1,1,1,1
284,284,20130404,10.0,1,1,1,1
285,285,20130404,10.0,1,1,1,1
286,286,20130404,10.0,1,1,1,1
287,287,20130404,10.0,1,1,1,1
288,288,20130405,10.0,1,1,1,1
289,289,20130405,10.0,1,1,1,1
290,290,20130405,10.0,1,1,1,1
291,291,20130405,10.0,1,1,1,1
292,292,20130406,10.0,1,1,1,1
293,293,20130406,10.0,1,1,1,1
294,294,20130406,10.0,1,1,1,1
295,295,20130406,10.0,1,1,1,1
296,296,20130407,10.0,1,1,1,1
297,297,20130407,10.0,1,1,1,1
298,298,20130407,10.0,1,1,1,1
299,299,20130407,10.0,1,1,1,1
300,300,20130408,10.0,1,1,1,1
301,301,20130408,7.0,1,1,1,1
302,302,20130408,7.0,1,1,1,1
303,303,20130408,5.0,1,1,1,0
304,304,20130409,7.0,1,1,1,1
305,305,20130409,7.0,1,1,1,1
306,306,20130409,7.0,1,1,1,1
307,307,20130409,5.0,1,1,1,0
308,308,20130411,10.0,1,1,1,1
309,309,20130411,10.0,1,1,1,1
310,310,20130411,10.0,1,1,1,1
311,311,20130411,10.0,1,1,1,1
312,312,20130412,10.0,1,1,1,1
313,313,20130412,10.0,1,1,1,1
314,314,20130412,10.0,1,1,1,1
315,315,20130412,10.0,1,1,1,1
316,316,20130413,10.0,1,1,1,1
317,317,20130413,10.0,1,1,1,1
318,318,20130413,10.0,1,1,1,1
319,319,20130413,10.0,1,1,1,1
320,320,20130414,10.0,1,1,1,1
321,321,20130414,10.0,1,1,1,1
322,322,20130414,10.0,1,1,1,1
323,323,20130414,7.0,1,1,1,1
324,324,20130416,7.0,1,1,1,1
325,325,20130416,3.0,1,1,0,0
326,326,20130416,7.0,1,1,1,1
327,327,20130416,1.25,1,1,0,0
328,328,20130417,4.0,1,1,1,0
329,329,20130417,5.0,1,1,1,0
330,330,20130417,7.0,1,1,1,1
331,331,20130417,4.0,1,1,1,0
332,332,20130418,3.0,1,1,0,0
333,333,20130418,5.0,1,1,1,0
334,334,20130418,4.0,1,1,1,0
335,335,20130418,10.0,1,1,1,1
336,336,20130420,10.0,1,1,1,1
337,337,20130420,10.0,1,1,1,1
338,338,20130420,10.0,1,1,1,1
339,339,20130420,10.0,1,1,1,1
340,340,20130421,10.0,1,1,1,1
341,341,20130421,10.0,1,1,1,1
342,342,20130421,10.0,1,1,1,1
343,343,20130421,10.0,1,1,1,1
344,344,20130422,10.0,1,1,1,1
345,345,20130422,10.0,1,1,1,1
346,346,20130422,10.0,1,1,1,1
347,347,20130422,10.0,1,1,1,1
348,348,20130423,10.0,1,1,1,1
349,349,20130423,7.0,1,1,1,1
350,350,20130423,10.0,1,1,1,1
351,351,20130423,10.0,1,1,1,1
352,352,20130424,10.0,1,1,1,1
353,353,20130424,10.0,1,1,1,1
354,354,20130424,10.0,1,1,1,1
355,355,20130424,10.0,1,1,1,1
356,356,20130425,10.0,1,1,1,1
357,357,20130425,10.0,1,1,1,1
358,358,20130425,10.0,1,1,1,1
359,359,20130425,7.0,1,1,1,1
360,360,20130426,5.0,1,1,1,0
361,361,20130426,7.0,1,1,1,1
362,362,20130426,10.0,1,1,1,1
363,363,20130426,7.0,1,1,1,1
364,364,20130427,7.0,1,1,1,1
365,365,20130427,7.0,1,1,1,1
366,366,20130427,10.0,1,1,1,1
367,367,20130427,7.0,1,1,1,1
368,368,20130429,5.0,1,1,1,0
369,369,20130429,5.0,1,1,1,0
370,370,20130429,10.0,1,1,1,1
371,371,20130429,5.0,1,1,1,0
372,372,20130501,7.0,1,1,1,1
373,373,20130501,4.0,1,1,1,0
374,374,20130501,10.0,1,1,1,1
375,375,20130501,10.0,1,1,1,1
376,376,20130502,10.0,1,1,1,1
377,377,20130502,10.0,1,1,1,1
