,C0_Prob,C1_Prob
0,0.016404156,0.98359585
1,0.00012676182,0.9998733
2,1.6541879e-05,0.99998343
3,9.884044e-08,0.9999999
4,9.20012e-09,1.0
5,2.2486866e-08,1.0
6,2.507399e-09,1.0
7,1.37825165e-08,1.0
8,1.5013154e-07,0.9999999
9,6.4596145e-07,0.9999994
10,1.7060727e-06,0.99999833
11,0.0027321603,0.99726784
12,4.1057574e-06,0.99999595
13,0.0023715533,0.9976285
14,0.00018051702,0.99981946
15,9.3016344e-05,0.999907
16,6.884239e-05,0.9999311
17,0.015233349,0.98476666
18,0.0037387433,0.9962612
19,0.014306408,0.9856936
20,0.042995203,0.9570048
21,0.97367996,0.026320118
22,0.08882338,0.9111766
23,0.99922097,0.0007790156
24,0.9989064,0.0010935887
25,0.53969204,0.46030793
26,0.0096393265,0.9903606
27,0.029186139,0.9708138
28,0.061993696,0.9380063
29,0.0018257585,0.9981742
30,2.486745e-05,0.9999751
31,1.1016975e-05,0.99998903
32,0.0001113936,0.99988854
33,0.0021830904,0.9978169
34,0.00035278956,0.99964726
35,0.00015740264,0.9998425
36,0.00025677617,0.99974316
37,0.052172102,0.94782794
38,0.0007908587,0.9992092
39,0.0003903282,0.99960965
40,0.0067425114,0.9932575
41,0.059972808,0.9400272
42,0.0014075903,0.99859244
43,1.3449252e-06,0.9999987
44,3.719499e-06,0.9999963
45,0.000499792,0.99950016
46,0.00022183076,0.9997782
47,2.6891505e-06,0.99999726
48,1.0674997e-05,0.9999893
49,0.016035331,0.9839647
50,0.0011653457,0.99883467
51,0.0023693757,0.9976306
52,0.0005289224,0.9994711
53,0.056367204,0.94363284
54,0.002257099,0.9977429
55,6.608838e-05,0.99993396
56,1.8706096e-05,0.9999813
57,0.0033569946,0.99664307
58,0.0005703089,0.99942964
59,0.00050168636,0.99949825
60,1.2401474e-05,0.9999876
61,0.022944763,0.9770552
62,0.0027612594,0.99723876
63,0.064600445,0.93539953
64,0.0016217807,0.99837816
65,0.046996064,0.9530039
66,0.00839358,0.9916065
67,0.0007859607,0.99921405
68,0.0002248235,0.99977523
69,0.22644839,0.77355164
70,0.021228371,0.9787716
71,1.17798445e-05,0.9999882
72,0.004501462,0.99549854
73,0.022630448,0.9773695
74,0.00021301405,0.99978703
75,4.814013e-06,0.99999523
76,7.822509e-06,0.99999213
77,0.0011391639,0.99886084
78,0.0006364871,0.9993635
79,0.0005997173,0.99940026
80,0.0032923426,0.9967077
81,0.006764959,0.99323505
82,0.0009205605,0.99907947
83,7.986439e-05,0.9999201
84,0.02032356,0.9796765
85,0.30474952,0.6952505
86,0.00032706658,0.9996729
87,0.05605099,0.94394904
88,0.3643857,0.6356143
89,0.6644432,0.3355568
90,0.33350334,0.66649663
91,0.010904668,0.9890954
92,0.99605525,0.003944689
93,0.32613042,0.6738696
94,1.804578e-05,0.999982
95,1.880694e-05,0.99998116
96,0.0004580694,0.999542
97,0.014756297,0.9852437
98,0.00088805956,0.99911195
99,0.013816581,0.9861834
100,0.17571248,0.8242875
101,0.103649266,0.89635074
102,0.006424245,0.99357575
103,0.000793877,0.9992061
104,0.0007796802,0.99922025
105,0.17982559,0.82017446
106,0.042828843,0.9571712
107,0.0011018525,0.99889815
108,0.01863057,0.9813694
109,0.07097721,0.92902285
110,0.11065379,0.88934624
111,0.0013163635,0.99868363
112,0.016715985,0.983284
113,0.019912045,0.98008794
114,0.00040794996,0.999592
115,9.78602e-06,0.9999902
116,0.0016569298,0.9983431
117,0.002906428,0.99709356
118,0.0003312164,0.99966884
119,0.0002798148,0.99972016
120,0.0005752449,0.9994248
121,0.004408813,0.99559116
122,0.0007542093,0.99924576
123,1.8595675e-06,0.9999981
124,0.005917037,0.994083
125,0.0003353015,0.99966466
126,1.2310927e-09,1.0
127,4.8324647e-09,1.0
128,7.8626066e-08,0.9999999
129,2.7398783e-06,0.99999726
130,1.7578135e-05,0.9999825
131,2.9496163e-05,0.99997056
132,0.0006315091,0.9993685
133,0.0026560968,0.99734396
134,0.016068641,0.98393136
135,1.0652624e-05,0.9999894
136,0.004321874,0.9956781
137,0.0012920904,0.9987079
138,0.0011668713,0.9988331
139,2.807443e-06,0.99999714
140,3.683134e-05,0.99996316
141,0.0095657315,0.9904343
142,0.012162543,0.98783743
143,0.00013659189,0.9998634
144,0.030848071,0.9691519
145,0.05590023,0.9440998
146,0.005254964,0.994745
147,0.19052629,0.8094737
148,0.9998196,0.00018048364
149,0.9991295,0.00087058847
150,0.8542973,0.14570278
151,1.2762756e-07,0.9999999
152,2.501334e-07,0.99999976
153,0.012917057,0.98708296
154,0.00017954611,0.99982053
155,0.000115298906,0.9998847
156,0.0020978253,0.99790215
157,0.0020023372,0.9979976
158,0.025285238,0.9747148
159,0.00020019109,0.9997998
160,0.005876607,0.9941234
161,0.0010720595,0.9989279
162,4.3449938e-05,0.9999565
163,7.9586193e-10,1.0
164,0.01709529,0.9829047
165,7.941306e-05,0.9999206
166,0.0019004417,0.9980996
167,1.1486039e-05,0.99998856
168,0.001204682,0.9987953
169,0.0058756904,0.99412435
170,1.8008929e-07,0.99999976
171,8.070504e-09,1.0
172,2.9958405e-06,0.999997
173,0.0010870079,0.99891305
174,1.849649e-05,0.9999815
175,1.5109317e-06,0.99999845
176,1.1906973e-06,0.9999988
177,0.00030223082,0.9996978
178,4.0077416e-06,0.99999595
179,0.00015640921,0.9998436
180,0.00017236746,0.9998276
181,0.06540317,0.9345968
182,7.008271e-05,0.9999299
183,1.15426886e-07,0.9999999
184,0.0005296605,0.9994704
185,0.0015510787,0.99844885
186,6.1790095e-05,0.99993825
187,4.6272784e-05,0.99995375
188,0.00031686254,0.99968314
189,3.9923263e-05,0.99996006
190,0.0005887078,0.99941134
191,2.5493632e-06,0.9999975
192,5.544163e-06,0.9999944
193,0.0021565002,0.9978435
194,0.00024644352,0.99975353
195,7.192988e-06,0.99999285
196,1.3582027e-06,0.9999987
197,0.024389653,0.9756104
198,1.1495112e-05,0.99998856
199,5.8673277e-07,0.9999994
200,6.5351746e-06,0.99999344
201,0.00959655,0.9904034
202,0.002588757,0.9974113
203,8.564164e-08,0.9999999
204,0.0019769627,0.99802303
205,0.004343627,0.9956564
206,0.00035371046,0.9996463
207,1.2043101e-06,0.9999988
208,0.00021266297,0.9997874
209,0.003624655,0.9963754
210,0.00016423085,0.9998357
211,2.2425195e-07,0.99999976
212,4.2865977e-06,0.9999957
213,0.000252199,0.9997478
214,6.773097e-05,0.9999323
215,1.9753698e-07,0.99999976
216,1.5231687e-05,0.99998474
217,0.00027536912,0.99972457
218,0.00070613594,0.9992938
219,6.772853e-07,0.9999993
220,0.00022480056,0.99977523
221,0.022589415,0.9774106
222,0.0009351225,0.99906486
223,0.00021282522,0.99978715
224,0.16724686,0.8327531
225,0.17534111,0.8246589
226,0.07740295,0.9225971
227,0.048281003,0.951719
228,0.019494211,0.98050576
229,0.010082154,0.9899178
230,0.00020161761,0.99979836
231,0.0002946614,0.99970526
232,0.17729732,0.82270265
233,0.0022381342,0.99776185
234,2.8401717e-09,1.0
235,1.078427e-09,1.0
236,2.1188717e-10,1.0
237,2.2764909e-05,0.99997723
238,2.3867657e-05,0.99997616
239,1.2989436e-06,0.9999987
240,0.0054875202,0.99451244
241,0.16966867,0.8303313
242,0.0066081323,0.9933918
243,0.005867575,0.99413246
244,0.18963885,0.81036115
245,0.9997949,0.0002051422
246,0.13722052,0.86277944
247,0.33291107,0.6670889
248,0.99960274,0.00039731024
249,0.015939161,0.9840608
250,0.002578795,0.99742126
251,2.1167248e-08,1.0
252,3.1197353e-06,0.9999969
253,2.2646375e-06,0.99999774
254,7.2146655e-08,0.9999999
255,6.1982264e-10,1.0
256,0.0018630594,0.9981369
257,0.0011246481,0.9988753
258,6.32685e-07,0.9999994
259,4.531723e-12,1.0
260,0.00018433722,0.99981564
261,0.002386225,0.9976138
262,2.5465431e-05,0.9999745
263,1.9748461e-07,0.99999976
264,5.3058598e-06,0.99999464
265,0.007180334,0.9928196
266,0.00025542057,0.9997446
267,3.6457732e-07,0.99999964
268,0.00027446647,0.9997255
269,0.0033990361,0.996601
270,5.268085e-05,0.9999473
271,1.2939868e-06,0.9999987
272,0.0017215564,0.9982785
273,0.00044468374,0.9995553
274,0.00852309,0.99147695
275,7.9495876e-05,0.9999205
276,0.00097148964,0.99902856
277,0.02874046,0.9712595
278,0.018895421,0.98110455
279,0.00043099295,0.999569
280,0.06315168,0.9368483
281,0.30981433,0.6901856
282,0.0012104011,0.9987896
283,3.9094894e-06,0.99999607
284,0.012266179,0.98773384
285,0.25590497,0.744095
286,0.00017010013,0.9998299
287,2.3077459e-07,0.99999976
288,0.0070135486,0.9929865
289,0.009999683,0.9900003
290,0.00010807006,0.9998919
291,1.05918025e-05,0.9999894
292,0.00046779466,0.9995322
293,0.00022957982,0.99977046
294,8.5953594e-05,0.99991405
295,1.7025435e-08,1.0
296,3.113646e-05,0.9999689
297,7.721081e-07,0.9999993
298,8.5217194e-05,0.99991477
299,6.041615e-08,0.9999999
300,0.0040182928,0.9959817
301,0.0054100547,0.9945899
302,1.5011595e-06,0.99999845
303,4.0841473e-07,0.99999964
304,1.9358977e-05,0.9999807
305,1.1592689e-06,0.9999988
306,7.3967516e-07,0.9999993
307,4.356338e-07,0.9999995
308,0.0002048287,0.99979514
309,0.0022228367,0.99777716
310,0.000373558,0.9996264
311,4.6124743e-08,1.0
312,0.00038239214,0.9996176
313,0.00023500853,0.999765
314,4.5095567e-06,0.99999547
315,1.7250134e-06,0.99999833
316,2.1234968e-05,0.9999788
317,0.0022956477,0.9977043
318,6.618771e-05,0.99993384
319,3.1316512e-07,0.99999964
320,0.00079182873,0.99920815
321,0.2762243,0.72377574
322,0.0074763163,0.9925237
323,2.2979957e-06,0.99999774
324,0.08109465,0.9189054
325,0.03418652,0.9658135
326,0.0004468477,0.99955314
327,0.000325003,0.99967504
328,0.0056483103,0.9943516
329,0.00022645769,0.99977356
330,1.151562e-05,0.99998844
331,3.907402e-06,0.99999607
332,0.00026901322,0.999731
333,0.00012205139,0.9998779
334,5.0348713e-06,0.999995
335,1.3522984e-05,0.9999865
336,0.00015749018,0.9998425
337,0.003791481,0.99620855
338,6.5989625e-05,0.99993396
339,4.726825e-10,1.0
340,0.00018934783,0.99981064
341,0.024820322,0.97517973
342,0.00017780463,0.9998222
343,2.9361883e-07,0.99999976
344,1.2445774e-05,0.9999876
345,0.0015491918,0.99845076
346,0.0022444832,0.9977556
347,0.0003537101,0.9996463
348,0.0033596503,0.9966403
349,0.0032027343,0.99679726
350,0.0033830612,0.9966169
351,7.280739e-05,0.99992716
352,0.0068341456,0.9931659
353,0.024862736,0.9751373
354,5.149922e-07,0.9999995
355,2.7440572e-06,0.99999726
356,1.1955765e-06,0.9999988
357,0.00064023765,0.9993598
358,0.00027748226,0.99972254
359,0.0007381928,0.9992618
360,0.010804782,0.9891952
361,0.12743913,0.87256086
362,0.053576544,0.9464234
363,0.00030158748,0.9996984
364,0.028767267,0.9712327
365,0.58659095,0.41340905
366,0.0045986376,0.9954014
367,0.04159257,0.95840746
368,2.7223854e-05,0.9999728
369,0.0012028854,0.99879706
370,0.0006506264,0.9993494
371,0.00015800806,0.9998419
372,0.0030407782,0.9969592
373,0.07794605,0.92205393
374,0.00033792626,0.99966204
375,0.0008396039,0.9991604
376,0.007401213,0.9925988
377,0.23911215,0.7608878
378,0.017399194,0.98260087
379,7.234921e-05,0.99992764
380,0.0001629207,0.99983704
381,0.0023243313,0.9976757
382,7.36192e-05,0.9999263
383,9.6907804e-08,0.9999999
384,1.829733e-05,0.99998176
385,8.737318e-05,0.9999126
386,9.196398e-05,0.999908
387,2.2960155e-06,0.99999774
388,0.00010420299,0.9998958
389,8.677078e-05,0.9999132
390,0.00037272615,0.99962723
391,1.9355243e-06,0.9999981
392,0.011313188,0.9886868
393,0.08735696,0.9126431
394,0.00036464498,0.99963534
395,0.00021792848,0.999782
396,0.0008789825,0.999121
397,0.055978056,0.94402194
398,0.0010992335,0.9989008
399,9.408429e-07,0.99999905
400,4.557994e-07,0.9999995
401,8.1900325e-06,0.9999918
402,6.738463e-05,0.99993265
403,1.50873775e-05,0.99998486
404,2.3290464e-05,0.99997675
405,6.7854315e-05,0.99993217
406,0.0017376146,0.99826235
407,9.555657e-06,0.99999046
408,7.4786512e-06,0.9999925
409,3.9575396e-05,0.9999604
410,1.4519905e-05,0.99998546
411,1.7365176e-06,0.9999982
412,0.4849293,0.51507074
413,0.19856723,0.8014328
414,0.00016787318,0.99983215
415,0.00024079204,0.99975926
416,0.025808062,0.97419196
417,0.5930712,0.40692875
418,0.0007280268,0.9992719
419,3.6481247e-06,0.9999963
420,0.0007340186,0.99926597
421,0.007087745,0.99291223
422,1.7659795e-05,0.99998236
423,2.2208791e-05,0.9999778
424,0.005124079,0.99487597
425,0.004010442,0.9959896
426,0.00016699571,0.999833
427,1.754161e-05,0.9999825
428,0.41339263,0.58660734
429,0.0035862236,0.99641377
430,0.0026255331,0.9973744
431,0.00031152926,0.9996885
432,0.0018437076,0.99815625
433,0.029821618,0.9701784
434,0.001812601,0.99818736
435,7.1487216e-06,0.99999285
436,0.0045481897,0.99545187
437,0.2007537,0.7992463
438,0.0011114554,0.99888855
439,0.00020097273,0.9997991
440,8.912392e-05,0.99991083
441,4.195189e-06,0.9999958
442,0.0003009226,0.9996991
443,0.00030361675,0.9996964
444,3.5569474e-07,0.99999964
445,7.1548598e-06,0.99999285
446,6.114578e-05,0.99993885
447,4.7339128e-07,0.9999995
448,4.031237e-08,1.0
449,1.0777983e-06,0.9999989
450,3.5286075e-06,0.9999964
451,1.8962938e-09,1.0
452,3.6287422e-06,0.9999964
453,1.4218887e-07,0.9999999
454,0.00015393067,0.9998461
455,6.376828e-06,0.9999937
456,5.6484446e-08,1.0
457,1.2689282e-05,0.99998736
458,0.0005470833,0.9994529
459,1.0304146e-06,0.9999989
460,2.473462e-06,0.9999975
